id_core,id_tree,tag_tree,distance_cm,rumbo_degree,height_cm,diam_mm,date
B14,255,35,341,196,1570,1520,9/2/17
B14,256,36,460,208,1200,1190,9/2/17
B14,257,37,764,224,1920,3100,9/2/17
B14,258,38,892,232,1450,2510,9/2/17
B14,259,39,204,250,1600,1530,9/2/17
B14,260,40,279,222,1910,1700,9/2/17
B14,261,41,140,340,2000,2110,9/2/17
B14,262,42,262,60,530,415,9/2/17
B14,263,43,299,70,340,270,9/2/17
B14,264,44,299,78,480,370,9/2/17
B13,265,36,956,48,1200,1190,9/2/17
B13,266,37,653,14,1920,3100,9/2/17
B13,267,38,568,26,1450,2510,9/2/17
B13,268,45,765,244,2040,2370,9/2/17
B13,269,46,814,252,980,2390,9/2/17
B13,270,47,919,246,910,1590,9/2/17
B13,271,48,625,152,430,255,9/2/17
B13,272,49,841,136,670,340,9/2/17
B13,273,50,886,132,760,360,9/2/17
B13,274,51,818,144,600,320,9/2/17
B16,275,52,775,48,600,1695,9/2/17
B16,276,53,940,70,1460,2150,9/2/17
B16,277,54,665,150,1580,1600,9/2/17
B16,278,55,994,198,1170,1260,9/2/17
B16,279,56,249,218,1670,2080,9/2/17
B16,280,57,132,126,1730,2050,9/2/17
B16,281,58,998,270,630,325,9/2/17
B17,282,59,200,178,1600,1760,9/2/17
B17,283,60,973,196,640,265,9/2/17
B17,284,61,298,156,1600,1710,9/2/17
B17,285,62,467,148,370,320,9/2/17
B17,286,63,340,110,1320,1490,9/2/17
B17,287,64,380,102,390,345,9/2/17
B17,288,65,224,80,1170,1650,9/2/17
B17,289,101,210,70,1280,155,9/2/17
B17,290,66,160,22,1490,1760,9/2/17
B17,291,67,785,28,860,355,9/2/17
B17,292,68,830,16,740,310,9/2/17
B17,293,69,842,18,490,285,9/2/17
B17,294,70,942,16,970,490,9/2/17
B17,295,71,994,26,440,275,9/2/17
B17,296,72,785,338,530,265,9/2/17
B17,297,73,727,336,620,255,9/2/17
B17,298,74,845,302,570,280,9/2/17
B18,299,75,772,94,1310,1820,9/2/17
B18,300,76,731,168,1590,1910,9/2/17
B18,301,77,912,164,1490,1580,9/2/17
B18,302,78,907,188,1470,1470,9/2/17
B18,303,79,632,258,1400,1320,9/2/17
B18,304,80,780,338,1480,2370,9/2/17
B19,305,81,190,242,1280,1640,9/2/17
B19,306,82,329,248,1310,1670,9/2/17
B19,307,83,963,188,1950,2310,9/2/17
B19,308,84,920,72,890,580,9/2/17
B19,309,85,621,24,570,325,9/2/17
B19,310,86,738,22,480,355,9/2/17
B19,311,87,799,26,630,335,9/2/17
B19,312,88,802,20,590,445,9/2/17
B19,313,89,886,18,770,505,9/2/17
B19,314,90,945,16,540,400,9/2/17
B19,315,91,971,18,1380,1840,9/2/17
B19,316,92,685,50,340,260,9/2/17
B19,317,93,380,162,1140,2320,9/2/17
B19,318,94,469,182,1330,1940,9/2/17
B19,319,95,756,174,1280,1370,9/2/17
