SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
-0.48763,-0.85612,-0.94974,-1.07004,-0.7139,-0.40479,-0.45381,-0.50543,-1.03354,-0.9944,-1.04517,-0.84551,-0.39463,-0.58467,-0.53457,-0.47821,-0.62346,-0.54944,-0.09136,-0.1252,0.17073,-0.13095,0.08476,0.19657,0.29329,0.2464,0.45897,0.51764,0.38281,0.48682,0.4334,0.71164,0.80599,0.92321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.31565,-0.71501,-0.95902,-1.00675,-1.10531,-0.83314,-0.54681,-0.56392,-0.59601,-1.084,-1.05878,-1.11095,-0.92478,-0.48415,-0.66636,-0.61736,-0.56086,-0.69771,-0.63556,-0.17224,-0.21986,0.07827,-0.21577,-0.00421,0.10441,0.20643,0.1614,0.37303,0.43466,0.30017,0.41251,0.36416,0.6437,0.736,0.85671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.92491,0.43174,0.06406,-0.24758,-0.2963,-0.43357,-0.19307,-0.01339,-0.13718,-0.20006,-0.74738,-0.73483,-0.80294,-0.61366,-0.186,-0.36003,-0.31469,-0.26496,-0.39197,-0.33777,0.07777,0.01511,0.2775,-0.0052,0.18435,0.28436,0.37896,0.33645,0.53378,0.58848,0.46265,0.5589,0.51208,0.77727,0.86217,0.96988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.13779,1.22067,0.90719,0.62099,0.31383,0.25807,0.1266,0.33822,0.40923,0.25366,0.19363,-0.30655,-0.3269,-0.41045,-0.2623,0.11463,-0.05374,-0.00827,0.0365,-0.07819,-0.04597,0.31419,0.24254,0.48899,0.20915,0.37702,0.47246,0.55148,0.50858,0.69549,0.74636,0.63334,0.7147,0.66677,0.92594,1.00835,1.1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.35528,1.44899,1.51024,1.33658,1.18162,0.91956,0.88451,0.77732,0.92381,0.90099,0.70756,0.62885,0.16871,0.13157,0.04297,0.15353,0.48795,0.32546,0.36929,0.40946,0.30785,0.31645,0.63393,0.55664,0.79165,0.51171,0.65004,0.73253,0.80708,0.76825,0.94924,0.99567,0.88885,0.95763,0.90845,1.17103,1.25325,1.35669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.90607,1.40307,1.52958,1.59312,1.41835,1.30258,1.09416,1.07918,0.98875,1.10119,1.07752,0.90689,0.824,0.39935,0.34622,0.2411,0.33923,0.65354,0.50014,0.53992,0.5749,0.48631,0.46522,0.76196,0.68498,0.91881,0.64951,0.77022,0.8474,0.91355,0.87349,1.05055,1.09535,0.99161,1.05915,1.01352,1.27181,1.35369,1.46008,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.31021,1.37489,1.7231,1.82959,1.88122,1.68193,1.58739,1.40935,1.40469,1.33658,1.45462,1.38901,1.24279,1.1355,0.72998,0.6501,0.54983,0.64284,0.92802,0.78611,0.82415,0.85519,0.77261,0.73635,1.00476,0.92992,1.14379,0.88799,0.98284,1.05409,1.11213,1.08048,1.2473,1.2877,1.19479,1.25368,1.21435,1.46316,1.54922,1.65664,NA,NA,NA,NA,NA,NA,NA,NA
0.46241,1.01598,1.20577,1.57838,1.70138,1.71186,1.55819,1.48539,1.33103,1.31928,1.25658,1.36768,1.34115,1.21963,1.12582,0.74902,0.67054,0.58331,0.6751,0.93715,0.81447,0.8524,0.88181,0.80866,0.7822,1.02901,0.9602,1.1535,0.91744,1.00622,1.07671,1.13375,1.10386,1.25911,1.29648,1.20991,1.27116,1.23352,1.46722,1.54084,1.6463,NA,NA,NA,NA,NA,NA,NA
1.10284,0.81684,1.25748,1.40313,1.70553,1.79879,1.77774,1.64116,1.58123,1.43567,1.42771,1.37007,1.47899,1.43437,1.32311,1.23084,0.8699,0.7857,0.69742,0.77662,1.01825,0.90052,0.93766,0.96501,0.89521,0.86632,1.09436,1.02863,1.21531,0.99536,1.0762,1.14009,1.19355,1.16849,1.31662,1.35288,1.27116,1.32906,1.29175,1.51225,1.59082,1.69848,NA,NA,NA,NA,NA,NA
-0.50741,0.77155,0.64722,1.14893,1.32564,1.64322,1.74979,1.74372,1.61232,1.55035,1.39693,1.3884,1.32919,1.44227,1.3984,1.28083,1.18923,0.82357,0.74253,0.65935,0.7378,0.98706,0.86861,0.90651,0.93418,0.86219,0.83247,1.0636,0.99848,1.18803,0.96345,1.04792,1.11594,1.17053,1.14616,1.29597,1.3318,1.24808,1.30826,1.27039,1.49314,1.57435,1.68278,NA,NA,NA,NA,NA
-0.96024,-1.00875,0.41574,0.44342,1.02616,1.22238,1.56087,1.68346,1.69999,1.56594,1.49635,1.34026,1.33033,1.26894,1.37385,1.34098,1.22521,1.13769,0.77308,0.69414,0.61471,0.69537,0.94782,0.82953,0.86753,0.89625,0.82384,0.79639,1.02914,0.96421,1.15386,0.92783,1.016,1.08508,1.1412,1.11638,1.26741,1.30418,1.21848,1.28181,1.24406,1.4685,1.54823,1.65361,NA,NA,NA,NA
1.80337,1.72495,1.50568,1.69218,1.4637,1.62862,1.74509,1.9319,1.95029,1.93179,1.82448,1.79931,1.67647,1.67847,1.63437,1.74827,1.6594,1.56098,1.48364,1.17269,1.07528,0.97871,1.04175,1.2552,1.15271,1.1861,1.21014,1.15101,1.11289,1.31632,1.26594,1.43731,1.22879,1.2915,1.34341,1.38701,1.37128,1.50412,1.53532,1.46242,1.5118,1.47656,1.67595,1.73946,1.83403,NA,NA,NA
-0.68568,1.20453,1.08195,0.88342,1.21163,1.1386,1.4346,1.6072,1.83321,1.87242,1.86735,1.76303,1.73489,1.59648,1.58811,1.53539,1.64498,1.56456,1.44896,1.36776,1.05747,0.9675,0.87996,0.95085,1.17597,1.06723,1.10313,1.12898,1.06181,1.02678,1.24646,1.19652,1.38142,1.15448,1.22212,1.27702,1.32374,1.29975,1.44243,1.47748,1.39847,1.44505,1.404,1.60911,1.66502,1.75594,NA,NA
0.4451,-0.28904,1.15652,1.03164,0.87677,1.17214,1.09944,1.378,1.53556,1.78633,1.84787,1.8457,1.76032,1.71948,1.59022,1.58377,1.53703,1.62733,1.57568,1.47445,1.39895,1.09908,1.01546,0.92192,0.98375,1.20767,1.1004,1.13424,1.15965,1.0957,1.06303,1.28068,1.23698,1.41668,1.19586,1.25266,1.311,1.35511,1.33022,1.46875,1.50334,1.42991,1.47777,1.43777,1.63295,1.68517,1.77744,NA
