"","CA1101","CA1102","CA1201","CA1202","CA1301","CA1302","CA1401","CA1402","CA1501","CA1502","CA1601","CA1602","CA1701","CA1702","CA1801","CA1802","CA1901","CA1902","CA2001","CA2002","CA2101","CA2102","CA2201","CA2202","CA2301","CA2302","CA2401","CA2402","CA2501","CA2502"
"1861",NA,NA,NA,1.33034621642439,NA,NA,1.0411447070234,1.29905822478912,NA,NA,0.907264070149961,0.897923730493358,0.870051487817667,1.08254354663927,0.910592036428666,0.84409609962684,NA,NA,1.13738324807724,1.30381169495929,NA,1.15403809246338,0.943792910744195,0.984332003110968,0.835435765222429,0.918763012899742,0.858738283258367,0.89656019049793,1.03255510184838,0.998928263272895
"1862",NA,NA,NA,0.990937615776987,NA,NA,0.849810068376148,1.11209872708557,NA,NA,0.775440946261036,1.1800047259867,0.7984457769908,0.891286931259302,0.813816958179564,0.836615950184413,NA,NA,1.12805004244712,0.879386921660117,NA,0.972885278351503,1.10547744908348,0.916348429963614,1.00456814626877,0.902374607915655,0.651190890889107,0.714988938585101,0.948556718633863,0.945103197961697
"1863",NA,NA,NA,1.13478225389621,NA,NA,0.978127915705398,1.1470273898742,NA,NA,0.699200398087745,1.09257631279097,0.942704987663328,1.00032892451973,1.14916623674876,0.962285563554445,NA,NA,0.749100231876215,0.84939557868636,1.33242806615873,1.30459696783025,1.06242386970734,0.984527107731308,0.988769387750941,0.976283655962463,0.997596212546356,1.05232239889384,0.879753080128924,0.807342273516942
"1864",NA,NA,NA,0.197792080600112,NA,NA,0.81535197247987,1.07965750998841,NA,NA,0.798228178656453,1.30010930200328,1.02227145157376,1.303826209938,1.00739971649573,0.982257177288425,NA,NA,0.763303778580724,0.30646362033452,0.774061528340921,0.913508072656613,0.921064625197204,0.784125803980204,0.882427619733919,0.891218383550333,0.959255154701005,0.835896163543035,0.890862154535408,0.977192780254196
"1865",NA,NA,NA,1.08978778131959,1.20053184414971,NA,0.839762233928338,1.01102502730177,NA,NA,1.05507217240534,1.49582252560143,0.8591925470144,0.925330437316811,1.06317596483185,1.03901444201917,NA,NA,1.01521273681996,1.06959831313164,1.14663923532786,1.2134463608189,0.996057662663171,1.11596311684945,1.22169177866208,1.22541898240213,1.13485060911058,1.24006132464608,0.871215730704776,1.0568658323967
"1866",NA,NA,NA,0.986858083691833,0.886376117760091,NA,0.938271180341313,1.16986277310152,NA,NA,1.17929410635289,1.240947533362,1.02802815810011,0.997146960668157,1.4678177586852,1.32165189173577,NA,NA,1.18653901009647,1.11905839072982,0.87941135921552,1.09992043295309,0.845097720108251,1.07034371341719,1.20402376208013,1.09666224993005,1.47155306798239,1.47732697522661,1.28694151981719,1.12533293722396
"1867",NA,NA,0.863500901829774,0.707540962797681,0.649586233492108,NA,0.792152100499997,0.973590981205836,NA,NA,0.850382093004103,1.03969533798799,0.769277128831128,1.0933393703631,1.12652306918922,0.951999486215651,NA,NA,1.0011953670692,0.92305897464615,0.842336947356873,0.826075447063099,0.79626303597462,1.12344891623443,0.99317994957395,0.925343029400053,1.1020574926904,0.961780879568774,0.963960961956737,0.991537930641995
"1868",NA,NA,1.03146689082323,1.23079949837722,1.02414079494777,NA,0.884797984511798,1.00169122500289,NA,NA,1.03314369106225,0.97382950020407,0.874580748797055,0.82003594499666,1.30212557362249,0.934602020690868,NA,NA,1.05220422106493,1.29265206783799,1.0549742955905,0.999673317853512,1.04685965816646,1.10112605610504,0.937817565776337,0.936462558312228,1.07905336051154,1.31099139366411,1.13462034111082,0.772832242495358
"1869",NA,NA,1.08520696811446,1.34282904407725,0.867711818731455,NA,1.02558983686011,1.22424687926446,NA,NA,1.0966847340345,1.42048197151677,1.53114813217586,1.37468809031405,1.24273731435029,1.00593920217754,NA,NA,1.19883054455846,1.33242813336389,1.15622989459796,1.07503125865405,1.45146497911855,1.34339178571527,1.17192499570223,1.15980340295129,1.1004431302893,1.11783990302177,1.05883235705948,0.930451447281907
"1870",NA,NA,0.809861299514338,0.940194039087531,1.17229456753125,NA,0.881093666728128,0.702396830069477,NA,NA,0.944685152227864,0.921196107167441,0.814374650353383,0.754020460480501,0.68980891194516,0.700325270099756,NA,NA,1.14888380726145,0.972474747725558,1.20327270995431,1.00571899337559,0.954402212968294,0.994055182209737,0.828724604459369,0.941737279350372,0.936238183221961,1.08054418189292,0.997492632309145,0.842561979355996
"1871",NA,NA,0.948401951014739,0.870441588612815,0.865070260805346,NA,0.857174269219988,0.582630238925218,NA,NA,0.97310249055273,0.891550383299913,1.1684616675132,0.957457231093403,0.556154738822838,0.565307431520868,NA,NA,1.00124579341327,0.589041805579501,0.613906793273697,0.592367776324229,0.87868540966571,1.11718766043049,1.05731733253974,0.899878696917179,0.899400896505145,0.835389690858551,0.743186212575801,0.608530765277967
"1872",NA,NA,1.93560807209444,1.97472348433217,1.11504541855935,NA,1.11312501871528,0.909845376620905,NA,NA,1.09985931552988,0.785600487150498,1.14721560898132,1.01317702379184,0.746384105014096,0.944423142111094,NA,NA,1.14615098112825,0.997968880273058,1.54384973066904,1.50380741519201,1.04257865890171,1.171852975881,1.13316635954716,1.04475088580116,0.968156099600421,1.15311482394839,1.13303915880939,0.969758161602838
"1873",NA,NA,1.24880962553678,1.25068115626225,1.05736416071759,NA,1.03913189911403,0.860353192763648,NA,NA,1.09224974782922,0.59682707913014,1.15538230628831,0.766181597758913,0.587217215363507,1.20546997825888,NA,NA,0.92448182296153,0.651575489079613,1.04949124499222,1.22576116532999,1.01157768435937,1.00931875312809,0.907391662593285,0.988626592372194,1.08786922310066,0.91068610421211,1.02604529667943,1.20746311137305
"1874",NA,NA,0.526281799831377,0.499141343160766,0.869974506299657,0.822989660534311,1.06944120143545,0.73832641628384,NA,NA,0.92287442913667,0.537178942635933,0.464592508212896,0.455280558773401,0.831606666673598,0.815042737506506,NA,NA,0.386529181687338,0.88408870557264,0.819477992315964,1.24862723418699,0.917952873838532,0.792322470602005,0.753613263161763,0.797487005234604,0.683432833767499,0.697313511553137,0.866935723611799,0.868285036490053
"1875",NA,NA,0.800066962323001,0.987095427723625,1.19065295431793,1.01214390710014,1.00587318310526,0.973014431604011,NA,NA,1.15412037913638,1.20610403075383,0.815485976605892,0.973265047379157,1.380268590539,1.34900418160299,NA,NA,0.526887478935814,0.962402968966905,0.386241638584715,0.537385129209534,0.955720244095665,0.923091007659925,0.92798504967765,0.905773930043341,1.14023691594663,0.751534344335937,0.914811376842666,1.1219581894447
"1876",NA,NA,1.06598268857509,1.01920990862718,1.17691025430652,1.29989894917624,0.859483167892396,0.949014167626302,NA,NA,1.14125203150147,0.844535406830266,0.684611314778931,0.790877320448078,1.1404226893176,1.1106555509555,NA,NA,0.808775097939697,1.04744343404633,0.53923798136373,0.511934795645823,0.890294523897033,1.04258460292758,1.08875311710931,1.24984886895986,1.12102573699959,0.70570726363668,0.998451169321319,1.07523666105685
"1877",NA,NA,0.80294154258205,0.877899187272728,1.46982161285071,1.17784367814807,1.03182766010085,0.970068740791889,NA,NA,1.01381803177019,1.13597220603622,0.957473037490652,0.772171275306283,0.915143861357882,0.923599148678846,NA,NA,0.728922300059854,0.982320939267051,0.784556148066974,1.00571541432483,1.09913119665428,1.12822084014043,1.23030472904511,1.33270270002314,1.16094465439803,0.869383026359308,1.17559334413542,1.24433977216162
