"estimate","ci_lower","ci_upper","size","name_comparison","metodo_correla"
-0.0623906085217457,-0.203910226677065,0.105506119905574,2,"caH-caL","pearson"
-0.101510901526478,-0.252328186384623,0.0484273358651282,3,"caH-caL","pearson"
-0.130524477022792,-0.278789909232799,0.0229493780573783,4,"caH-caL","pearson"
-0.158860225710438,-0.308616341472039,0.00746080411844254,5,"caH-caL","pearson"
-0.182545093458852,-0.330811621859328,-0.0205071298735311,6,"caH-caL","pearson"
-0.195324627373592,-0.33790931776225,-0.0284281219525938,7,"caH-caL","pearson"
-0.207900399305135,-0.341918572000132,-0.0498685387994745,8,"caH-caL","pearson"
-0.216736589167892,-0.356910072666499,-0.0637601367096455,9,"caH-caL","pearson"
-0.219196589919964,-0.366976427509885,-0.0561163430754626,10,"caH-caL","pearson"
-0.215431993033979,-0.350328747812631,-0.0534135098219706,11,"caH-caL","pearson"
-0.208411410463053,-0.361767638127224,-0.0468563684128253,12,"caH-caL","pearson"
-0.199896711921523,-0.355664288265339,-0.0343185202539624,13,"caH-caL","pearson"
-0.190353689422724,-0.346255468561624,-0.0368930189169997,14,"caH-caL","pearson"
-0.179822260842832,-0.335941750554195,-0.00994570809165786,15,"caH-caL","pearson"
-0.1682851761131,-0.338828506722878,-0.021015722567901,16,"caH-caL","pearson"
-0.156061942824576,-0.307154188444756,0.00845817805968359,17,"caH-caL","pearson"
-0.144030065265451,-0.305744747279735,0.0122325294710583,18,"caH-caL","pearson"
-0.129886109476082,-0.292120118715307,0.0324743956580064,19,"caH-caL","pearson"
-0.114784060045302,-0.262674995538627,0.0446047046076718,20,"caH-caL","pearson"
-0.100770022546785,-0.256926154276939,0.0629893255638203,21,"caH-caL","pearson"
-0.0874159963544855,-0.260331313305729,0.0647447218356164,22,"caH-caL","pearson"
-0.0738207739506929,-0.225272081790662,0.0879058416876763,23,"caH-caL","pearson"
-0.0605225419576549,-0.229024695064567,0.0806260772607577,24,"caH-caL","pearson"
-0.0476606590910072,-0.217306893106445,0.0926202217671449,25,"caH-caL","pearson"
-0.0365881215513288,-0.17605672733919,0.106500475086501,26,"caH-caL","pearson"
-0.0267794617388721,-0.17338421169187,0.113640254688669,27,"caH-caL","pearson"
-0.0175219267753112,-0.162588098841803,0.12204459619883,28,"caH-caL","pearson"
-0.00931579817441526,-0.1611849717319,0.147015853657445,29,"caH-caL","pearson"
-0.00177103235467043,-0.149824375233486,0.141202714640295,30,"caH-caL","pearson"
0.00409293234490076,-0.150011629486163,0.14666151158716,31,"caH-caL","pearson"
0.00853412054687001,-0.13294006563618,0.170697613259423,32,"caH-caL","pearson"
0.0125527743240764,-0.134882517726517,0.159066079371987,33,"caH-caL","pearson"
0.0154844180789104,-0.135644973853172,0.164065655098079,34,"caH-caL","pearson"
0.0168550104075152,-0.139484614997793,0.173946340855962,35,"caH-caL","pearson"
0.018005257506386,-0.133879841518356,0.176410733598956,36,"caH-caL","pearson"
0.0194945089163089,-0.126817994383558,0.182217832179466,37,"caH-caL","pearson"
0.0196459618392331,-0.123825535900401,0.195821635723458,38,"caH-caL","pearson"
0.0196804378544768,-0.145719637317655,0.197564293008212,39,"caH-caL","pearson"
0.0205709511003258,-0.135292995348997,0.203453446276563,40,"caH-caL","pearson"
-0.127780792186652,-0.322162965233853,0.102278662520959,1,"sj-caL","spearman"
-0.212430011198208,-0.436141568972379,-0.00727696830502566,2,"sj-caL","spearman"
-0.26275331430842,-0.479219082593462,-0.0459802876758794,3,"sj-caL","spearman"
-0.309763958103309,-0.508531648126025,-0.0727511117851213,4,"sj-caL","spearman"
-0.340489804725429,-0.529772205609542,-0.106594987421506,5,"sj-caL","spearman"
-0.383452779104953,-0.550370831599302,-0.137320872557811,6,"sj-caL","spearman"
-0.418924147014035,-0.61905529112045,-0.211628163877943,7,"sj-caL","spearman"
-0.447497446373851,-0.6206153208329,-0.200069351428382,8,"sj-caL","spearman"
-0.483269345919481,-0.675082547689861,-0.284473523880484,9,"sj-caL","spearman"
-0.512593861631552,-0.67412479214773,-0.309562214904389,10,"sj-caL","spearman"
-0.526147459785839,-0.697609191964438,-0.313824093174505,11,"sj-caL","spearman"
-0.545886261481337,-0.708095297670043,-0.309156159846395,12,"sj-caL","spearman"
-0.564564138908575,-0.715628267528383,-0.350102581725084,13,"sj-caL","spearman"
-0.576151295075773,-0.720492054283651,-0.347206684401238,14,"sj-caL","spearman"
-0.578824784231778,-0.733573928864299,-0.371742438299723,15,"sj-caL","spearman"
-0.592457091237579,-0.731978966831931,-0.382682172480533,16,"sj-caL","spearman"
-0.59943741209564,-0.743558298053791,-0.393200284162328,17,"sj-caL","spearman"
-0.610832521908471,-0.742162219788019,-0.396261778646037,18,"sj-caL","spearman"
-0.629206236801173,-0.75931321951578,-0.42632885336228,19,"sj-caL","spearman"
-0.636968294863032,-0.76841360565194,-0.430146827338038,20,"sj-caL","spearman"
-0.638031442241969,-0.764107525519255,-0.449464312816793,21,"sj-caL","spearman"
-0.63547652916074,-0.757040196811238,-0.458033529598668,22,"sj-caL","spearman"
-0.63415031469826,-0.749978518358166,-0.439698213773652,23,"sj-caL","spearman"
-0.636616068122917,-0.76130098699332,-0.447634281857828,24,"sj-caL","spearman"
-0.656022895363046,-0.765056852159331,-0.474430174624119,25,"sj-caL","spearman"
-0.662743125419182,-0.778967903140933,-0.487718178298419,26,"sj-caL","spearman"
-0.668235499956259,-0.77625380642738,-0.504184747849896,27,"sj-caL","spearman"
-0.666350018268177,-0.770024049239736,-0.45834902425129,28,"sj-caL","spearman"
-0.669389624766194,-0.769603692325943,-0.478968311623401,29,"sj-caL","spearman"
-0.684851145342805,-0.79438186102497,-0.518211367682421,30,"sj-caL","spearman"
-0.68170337125561,-0.797247581719988,-0.505422363011433,31,"sj-caL","spearman"
-0.686625874125874,-0.795831773034174,-0.517767889834169,32,"sj-caL","spearman"
-0.689285714285714,-0.800071945092786,-0.534609337325571,33,"sj-caL","spearman"
-0.687884024577573,-0.788513552771488,-0.536501121603385,34,"sj-caL","spearman"
-0.688902319256629,-0.790452954167833,-0.524351947649011,35,"sj-caL","spearman"
-0.680486515071391,-0.792159160787244,-0.535046248962436,36,"sj-caL","spearman"
-0.671519866629619,-0.784051146526881,-0.510717996798083,37,"sj-caL","spearman"
-0.674400935125658,-0.788072066792683,-0.522935144640028,38,"sj-caL","spearman"
-0.663723891845335,-0.798534632843494,-0.48410752289329,39,"sj-caL","spearman"
-0.659904070521131,-0.786466210093562,-0.474823089276876,40,"sj-caL","spearman"
-0.0473294871490073,-0.265905549902771,0.184286338918921,1,"sj-caL","pearson"
-0.109164168103535,-0.323583399744519,0.131678181170823,2,"sj-caL","pearson"
-0.166869140347275,-0.384048626096852,0.0835273621988163,3,"sj-caL","pearson"
-0.217692765441743,-0.421817055070779,0.0308797384456625,4,"sj-caL","pearson"
-0.267070677921244,-0.477622132234559,-0.0182643500160021,5,"sj-caL","pearson"
-0.316437793102451,-0.520242756631511,-0.103625343011774,6,"sj-caL","pearson"
-0.369137041003451,-0.555570183421536,-0.127593262067609,7,"sj-caL","pearson"
-0.425257495261969,-0.606851695998962,-0.198813419601956,8,"sj-caL","pearson"
-0.46946736441308,-0.64324599428531,-0.278147049342282,9,"sj-caL","pearson"
-0.499866588392488,-0.653479982062309,-0.289701478611581,10,"sj-caL","pearson"
-0.515792106456771,-0.670586728154061,-0.314698615974416,11,"sj-caL","pearson"
-0.522720356009131,-0.703015358103079,-0.337031687099744,12,"sj-caL","pearson"
-0.52539611885779,-0.696427157794987,-0.318999493024546,13,"sj-caL","pearson"
