"ba","srd","sdd","nesr","newsr","lorimer","crowding","n_competitors","n_competitors_higher","pd","std","sum_sizes","sr","dnn","id_focal"
0.262444511721747,0.321311057784419,-0.373277889889037,0.0129439419689928,0.112652976173502,2.7494834609577,0.253486475731584,7,0,0.0222816920328653,222.816920328653,1.28756348961343,0.33085194375517,3.05,"B06"
0.328732545519521,0.661264842672084,-0.339232950664498,0.103543583955646,0.787936187029661,4.77188233777599,0.515030627200432,8,1,0.0254647908947033,254.647908947033,1.27483109416608,0.282900626678603,1.44,"B07"
0.820445721075509,0.605856682097557,-0.321048429082686,0.00127403215789217,0.00400098911125017,6.11469484264355,0.341420870365308,11,2,0.035014087480217,350.14087480217,2.75815516378255,0.153395212506106,5.53,"B08"
0.44923671068155,0.708366503042548,-0.156662711383775,0.013386715642144,0.0201690795106941,6.49556877430994,0.312388926661521,8,1,0.0254647908947033,254.647908947033,1.94646495401388,0.16060398078243,3.21,"A01"
0.124930662016772,0.488179543449795,-0.22818308076135,0.0324984322172776,0.0406265508487426,3.79633270458958,0.223697751931258,5,0,0.0159154943091895,159.154943091895,0.832380352370613,0.296096904441454,2.43,"A02"
0.198100157666482,0.505285845037259,-0.0982413094310591,0.0351662908791199,0.0934823901184057,4.05670020442042,0.243785563046524,4,0,0.0127323954473516,127.323954473516,0.999493042617103,0.269767441860465,2.32,"A03"
0.215147641508413,0.479401774814174,-0.114346417556629,0.00351952597875801,0.00226572405832034,4.36271782834183,0.19222016212506,6,0,0.0190985931710274,190.985931710274,1.17615502944911,0.226178010471204,4.99,"A04"
0.120522070093126,0.566630784990113,-0.24484232830604,0.0809189781393625,0.475946717706601,4.354514015075,0.292551887963993,6,0,0.0190985931710274,190.985931710274,0.876943736436343,0.274044795783926,1.03,"A05"
0.34691599776777,0.919228065496807,-0.248982054114419,0.0436551513228887,0.199646706733987,8.39342286261647,0.375463282195414,12,0,0.0381971863420549,381.971863420549,2.18519736865172,0.129359543436906,1.36,"A07"
0.390510526117429,1.09374979405216,-0.083219853861498,0.0176634340291265,0.0056942671597288,9.60428468931557,0.37786703697933,9,1,0.0286478897565412,286.478897565412,2.0912959522275,0.121657754010695,3.77,"A06"
