"years","CA11","CA12","CA13","CA14","CA15","CA16","CA17","CA18","CA19","CA20","CA21","CA22","CA23","CA24","CA25"
1864,NA,0.3545,NA,-1.318,NA,-0.7155,-1.771,-0.619,NA,-0.702,NA,-0.2095,-0.5015,-0.1975,-0.716
1865,NA,0.267,NA,-1.3275,NA,-0.6965,-1.8015,-0.563,NA,-0.8065,NA,-0.2765,-0.614,-0.2505,-0.693
1866,NA,0.2355,NA,-1.3845,NA,-0.6365,-1.8225,-0.8255,NA,-0.8785,NA,-0.3115,-0.6855,-0.421,-0.705
1867,NA,0.249,NA,-1.3595,NA,-0.5845,-1.711,-0.885,NA,-0.909,-1.3525,-0.3025,-0.5905,-0.43,-0.6595
1868,NA,0.1045,NA,-1.1685,NA,-0.6865,-1.436,-0.8915,NA,-0.8445,-1.5755,-0.2865,-0.5855,-0.536,-0.6045
1869,NA,-0.0325000000000002,NA,-1.194,NA,-1.007,-1.54,-0.946,NA,-0.8875,-1.7425,-0.4755,-0.6675,-0.603,-0.556
1870,NA,0.0345,NA,-0.9795,NA,-0.9915,-1.34,-0.817,NA,-0.863,-1.7665,-0.4635,-0.6535,-0.656,-0.5195
1871,NA,0.0499999999999998,NA,-0.6755,NA,-0.978,-1.2795,-0.5845,NA,-0.7005,-1.52,-0.501,-0.706,-0.656,-0.4265
1872,NA,-0.352,NA,-0.659,NA,-0.8685,-1.275,-0.594,NA,-0.739,-1.7725,-0.553,-0.814,-0.75,-0.4585
1873,NA,-0.378,NA,-0.4845,NA,-0.6745,-1.133,-0.529,NA,-0.682,-1.608,-0.5645,-0.7315,-0.733,-0.474
1874,NA,-0.2775,-0.286,-0.3505,NA,-0.438,-0.7555,-0.406,NA,-0.648,-1.5295,-0.5395,-0.6485,-0.6225,-0.431
1875,NA,-0.166,-0.4365,-0.236,NA,-0.3775,-0.5835,-0.5345,NA,-0.468,-1.0915,-0.4725,-0.5,-0.5395,-0.409
1876,NA,-0.1755,-0.8625,-0.1075,NA,-0.284,-0.401,-0.448,NA,-0.382,-0.77,-0.4285,-0.528,-0.4195,-0.369
1877,NA,-0.167,-1.324,-0.0980000000000003,NA,-0.217,-0.236,-0.3375,NA,-0.285,-0.6395,-0.4205,-0.6115,-0.384,-0.3945
1878,NA,-0.0489999999999999,-1.507,-0.04,NA,-0.131,-0.1885,-0.2265,NA,-0.233,-0.4135,-0.357,-0.5165,-0.2795,-0.307
1879,NA,0.209,-1.607,0.0960000000000001,NA,0.194,0.0315000000000001,-0.1905,NA,-0.1885,-0.1575,-0.149,-0.3515,-0.165,-0.2195
1880,NA,0.3435,-1.419,0.0335000000000001,NA,0.351,0.0649999999999999,-0.0914999999999999,NA,-0.128,0.11,-0.089,-0.2845,-0.0915000000000001,-0.178
1881,NA,0.4005,-1.3645,-0.0820000000000003,NA,0.349,0.1615,-0.171,NA,-0.165,0.164,-0.00650000000000017,-0.1905,-0.0385,-0.1615
1882,NA,0.6455,-0.919,0.0259999999999998,NA,0.3095,0.251,-0.15,NA,0.0145,0.515,0.099,-0.0255000000000001,0.0620000000000001,-0.0415000000000001
1883,NA,0.6165,-0.7645,-0.107,NA,0.141,0.2505,-0.2045,NA,0.0755000000000001,0.596,0.1535,-0.124,0.0975,-0.025
1884,NA,0.388,-0.6835,-0.1865,NA,0.024,0.118,-0.301,NA,0.106,0.5545,0.1645,-0.163,0.0209999999999999,0.00099999999999989
1885,NA,0.2075,-0.5685,-0.351,NA,0.0185,-0.0194999999999999,-0.313,NA,0.0205000000000002,0.325,0.1135,-0.22,0.0245,0.0354999999999999
1886,NA,0.1385,-0.3205,-0.428,NA,0.052,-0.0634999999999999,-0.3135,NA,0.1145,0.1505,0.0835000000000001,-0.1505,0.0614999999999999,0.1185
1887,NA,0.0940000000000001,-0.211,-0.465,NA,-0.121,-0.1785,-0.4255,NA,0.1205,0.0349999999999999,0.0349999999999999,-0.15,0.0635,0.1745
1888,NA,0.0290000000000001,-0.1365,-0.557,NA,-0.254,-0.21,-0.5575,NA,0.1915,-0.119,-0.00600000000000001,-0.2705,0.038,0.1245
1889,NA,-0.132,0.0135000000000001,-0.579,NA,-0.324,-0.1985,-0.602,NA,0.356,-0.183,-0.0865,-0.3405,0.00550000000000006,0.0780000000000001
1890,NA,-0.3355,-0.227,-0.538,NA,-0.3615,-0.2155,-0.8385,NA,0.393,-0.292,-0.111,-0.3995,-0.0394999999999999,0.0629999999999999
1891,NA,-0.4145,-0.214,-0.4605,NA,-0.233,-0.2505,-0.9425,NA,0.501,-0.317,-0.1305,-0.4475,-0.0425000000000002,0.0734999999999999
1892,NA,-0.5165,-0.524,-0.569,NA,-0.267,-0.247,-0.947,NA,0.4105,-0.4355,-0.18,-0.516,-0.0635000000000001,0.00150000000000006
1893,NA,-0.604,-0.717,-0.54,NA,-0.295,-0.2885,-0.9185,NA,0.2775,-0.4335,-0.192,-0.4715,-0.0635000000000001,-0.00450000000000006
1894,NA,-0.5605,-0.6655,-0.54,NA,-0.1795,-0.22,-0.8355,NA,0.167,-0.365,-0.208,-0.425,-0.00700000000000012,0.00350000000000006
1895,NA,-0.48,-0.552,-0.4825,NA,-0.089,-0.1315,-0.733,NA,0.145,-0.2205,-0.176,-0.376,0.01,-0.00349999999999984
1896,NA,-0.357,-0.467,-0.392,NA,0.0259999999999998,-0.0865,-0.632,NA,0.0130000000000001,-0.0760000000000001,-0.191,-0.335,0.02,-0.0469999999999999
1897,NA,-0.2635,-0.3065,-0.3275,NA,0.2,-0.0554999999999999,-0.5545,0.9775,-0.0449999999999999,0.0760000000000001,-0.1235,-0.2555,0.0800000000000001,-0.0329999999999999
1898,NA,-0.225,-0.223,-0.2685,NA,0.3785,-0.0145,-0.451,1.3795,-0.171,0.193,-0.0765,-0.1415,0.1315,0.0244999999999997
1899,NA,-0.245,-0.428,-0.346,NA,0.24,-0.1355,-0.3935,1.44,-0.402,0.162,-0.087,-0.19,0.1215,0.0399999999999998
1900,NA,-0.101,-0.2,-0.3845,NA,0.0640000000000001,-0.137,-0.243,1.704,-0.4635,0.13,-0.0805,-0.168,0.166,0.0569999999999999
1901,NA,-0.046,-0.213,-0.4665,NA,-0.145,-0.139,-0.199,1.295,-0.5945,0.0615000000000001,-0.1225,-0.1935,0.144,0.0145
1902,0.827,0.0089999999999999,0.0169999999999999,-0.45,NA,-0.142,-0.167,-0.208,1.032,-0.6475,-0.0129999999999999,-0.1325,-0.1855,0.1135,0.042
1903,0.695,0.0994999999999999,0.1745,-0.431,NA,-0.024,-0.142,-0.1595,0.948,-0.5755,-0.0494999999999999,-0.165,-0.1795,0.1155,0.0655000000000001
1904,0.149,0.126,0.129,-0.4565,NA,-0.1025,-0.2435,-0.204,0.8155,-0.505,-0.129,-0.191,-0.2205,0.0770000000000002,0.0325
1905,-0.293,0.144,0.0954999999999999,-0.415,NA,-0.143,-0.254,-0.2415,0.888,-0.4415,-0.1825,-0.2135,-0.2545,0.0590000000000002,0.0259999999999998
1906,-0.752,0.0395000000000001,0.0625,-0.4675,NA,-0.368,-0.282,-0.3265,0.845,-0.37,-0.294,-0.1965,-0.2945,0.0170000000000001,0.0229999999999999
1907,-1.141,-0.036,-0.00449999999999973,-0.4915,-1.518,-0.4545,-0.2465,-0.3275,1.025,-0.3495,-0.377,-0.25,-0.317,-0.0405,0.002
1908,-1.495,-0.0285000000000002,-0.0145,-0.4535,-1.419,-0.621,-0.267,-0.3575,0.606,-0.297,-0.4365,-0.2885,-0.3755,-0.097,-0.0374999999999999
1909,-1.458,-0.0125,0.155,-0.37,-1.18,-0.5745,-0.1655,-0.3735,0.5755,-0.1775,-0.4255,-0.284,-0.277,-0.0799999999999998,-0.0069999999999999
1910,-1.35,-0.0954999999999999,0.1115,-0.3115,-0.976,-0.412,-0.144,-0.4095,0.45,-0.1275,-0.3925,-0.3,-0.226,-0.0879999999999999,0.0110000000000001
1911,-1.164,-0.141,0.0300000000000002,-0.253,-0.904,-0.3525,-0.1145,-0.3885,0.484,-0.0585,-0.365,-0.275,-0.168,-0.0825,0.0715000000000001
1912,-1.343,-0.1295,-0.154,-0.186,-0.807,-0.378,-0.1065,-0.3905,0.327,-0.0215000000000001,-0.2715,-0.2605,-0.1425,-0.0459999999999998,0.1035
1913,-1.216,-0.112,-0.1315,-0.1085,-0.688,-0.465,-0.0854999999999999,-0.3955,0.199,-0.0445,-0.24,-0.2215,-0.103,-0.0615000000000001,0.1285
1914,-1,-0.1295,-0.192,-0.0154999999999998,-0.515,-0.5685,-0.03,-0.3665,0.0775000000000001,-0.101,-0.1825,-0.201,-0.0794999999999999,-0.05,0.172
1915,-0.841,-0.152,-0.177,0.0435000000000001,-0.377,-0.6045,-0.0319999999999999,-0.303,-0.122,-0.1365,-0.17,-0.19,-0.0225,-0.0425,0.192
1916,-0.69,-0.1125,-0.1145,0.0754999999999999,-0.296,-0.5275,-0.0575,-0.2795,-0.462,-0.154,-0.1635,-0.1875,0,-0.0465,0.209
1917,-0.664,-0.178,-0.0250000000000004,0.0800000000000001,-0.4405,-0.4865,-0.0589999999999999,-0.291,-1.261,-0.14,-0.1815,-0.152,0.0484999999999998,-0.0549999999999999,0.214
1918,-0.62,-0.256,-0.1075,0.0394999999999999,-0.5045,-0.4185,-0.0665,-0.273,-1.403,-0.1355,-0.1675,-0.155,0.0875000000000001,-0.0565,0.203
1919,-0.587,-0.2305,-0.2205,0.0505,-0.5475,-0.333,-0.085,-0.222,-1.6445,-0.1715,-0.1645,-0.143,0.0765,-0.054,0.1745
1920,-0.662,-0.2285,-0.266,0.0069999999999999,-0.585,-0.3935,-0.1085,-0.1895,-2.012,-0.1885,-0.1945,-0.136,0.0309999999999999,-0.0755000000000001,0.1195
1921,-0.669,-0.219,-0.2145,-0.0165,-0.562,-0.376,-0.1455,-0.178,-2.0005,-0.205,-0.224,-0.144,0.00600000000000001,-0.099,0.0375000000000001
1922,-0.532,-0.259,-0.143,0.00550000000000006,-0.5265,-0.24,-0.1485,-0.1365,-1.763,-0.127,-0.268,-0.1475,-0.01,-0.1365,-0.0449999999999999
1923,-0.43,-0.3095,-0.188,-0.0310000000000001,-0.556,-0.1045,-0.138,-0.12,-1.5275,-0.0509999999999999,-0.253,-0.1585,0.0165,-0.1215,-0.0904999999999998
1924,-0.369,-0.3355,-0.2,-0.0550000000000002,-0.6455,0.0155000000000001,-0.133,-0.091,-1.483,0.03,-0.2535,-0.1495,0.0305,-0.124,-0.1515
1925,-0.471000000000001,-0.3545,-0.345,-0.152,-0.789,-0.00350000000000006,-0.141,-0.1315,-1.47,0.0594999999999999,-0.301,-0.146,-0.00499999999999989,-0.153,-0.193
1926,-0.542,-0.3925,-0.582,-0.151,-0.763,-0.0194999999999999,-0.118,-0.0964999999999999,-1.3445,0.0765,-0.2765,-0.1445,-0.0290000000000001,-0.1275,-0.205
1927,-0.713000000000001,-0.354,-0.8435,-0.165,-0.7,-0.089,-0.1445,-0.0985,-1.026,0.0405,-0.286,-0.1715,-0.1155,-0.11,-0.2105
1928,-0.769,-0.344,-0.8935,-0.132,-0.5935,-0.1185,-0.15,-0.0965,-0.863,0.0315000000000001,-0.3065,-0.149,-0.1235,-0.0910000000000001,-0.21
1929,-0.92,-0.4055,-0.8995,-0.15,-0.5275,-0.2535,-0.151,-0.1215,-0.74,0.0190000000000001,-0.328,-0.1405,-0.1275,-0.124,-0.276
1930,-1.101,-0.471,-0.9455,-0.095,-0.4995,-0.308,-0.1355,-0.14,-0.572,-0.0455000000000001,-0.304,-0.1345,-0.1065,-0.134,-0.262
1931,-1.197,-0.466,-0.871,-0.00750000000000006,-0.4325,-0.2625,-0.0954999999999999,-0.1025,-0.543,-0.0609999999999999,-0.211,-0.0985,-0.0375000000000001,-0.0845,-0.2425
1932,-1.485,-0.515,-0.929,-0.0269999999999999,-0.4145,-0.4235,-0.0995,-0.1045,-0.7795,-0.198,-0.194,-0.072,-0.016,-0.0675,-0.237
1933,-1.816,-0.513,-0.952,0.014,-0.4125,-0.6065,-0.132,-0.1155,-1.114,-0.302,-0.213,-0.0650000000000001,-0.0635000000000001,-0.0835,-0.2595
1934,-1.876,-0.4885,-0.813,0.04,-0.2005,-0.6535,-0.1135,-0.134,-1.131,-0.3675,-0.204,-0.0455000000000001,-0.0345,-0.0725,-0.2505
1935,-1.781,-0.4665,-0.746,0.107,-0.1075,-0.6145,-0.1265,-0.1315,-1.0935,-0.4115,-0.1835,-0.033,-0.04,-0.0549999999999999,-0.2545
1936,-1.616,-0.391,-0.579,0.1335,-0.0725,-0.5235,-0.098,-0.1265,-0.943,-0.426,-0.162,-0.0135000000000001,0.0165000000000002,-0.0590000000000001,-0.2815
1937,-1.319,-0.326,-0.397,0.2055,-0.00800000000000001,-0.446,-0.082,-0.094,-0.7585,-0.3835,-0.109,0.02,0.0810000000000002,-0.0455,-0.296
1938,-1.073,-0.2415,-0.2125,0.221,-0.0165,-0.3825,-0.0255,-0.0955,-0.6705,-0.338,-0.0605,0.0315000000000001,0.0984999999999998,-0.0469999999999999,-0.2835
1939,-0.719,-0.1495,-0.0785,0.206,0.0245,-0.266,-0.0269999999999999,-0.1035,-0.621,-0.3025,-0.0105,0.0225000000000001,0.073,-0.0415,-0.2065
1940,-0.25,-0.0205,0.00500000000000012,0.1325,0.046,-0.1615,-0.0259999999999999,-0.105,-0.5265,-0.2275,0.0165,0.0265,0.052,-0.0329999999999999,-0.1935
1941,0.048,0.0145,-0.0515000000000001,-0.000499999999999945,-0.000499999999999945,-0.194,-0.0605,-0.168,-0.496,-0.202,-0.0670000000000001,-0.00449999999999995,-0.0414999999999999,-0.076,-0.138
1942,0.378,0.1375,0.0490000000000002,-0.0700000000000001,0.046,-0.118,-0.0515,-0.197,-0.3285,-0.124,-0.0545,-0.02,-0.0740000000000001,-0.0650000000000001,-0.0624999999999999
1943,0.6155,0.207,0.105,-0.175,0.0774999999999999,-0.028,-0.0345,-0.2185,-0.128,-0.0695,-0.0595,-0.024,-0.0939999999999999,-0.0629999999999999,-0.0275
1944,0.7115,0.25,0.0549999999999999,-0.23,-0.073,0.013,-0.04,-0.246,-0.0675,-0.0449999999999999,-0.089,-0.049,-0.1965,-0.0525,0.00950000000000006
1945,0.932,0.274,0.2175,-0.242,-0.0210000000000001,0.073,0.001,-0.2175,0.0445,0.002,-0.0435,-0.049,-0.146,-0.0155000000000001,0.0565
1946,0.9555,0.2385,0.272,-0.291,-0.032,0.0275000000000001,-0.0435000000000001,-0.2295,0.0545,0.0115,-0.0675,-0.0629999999999999,-0.1755,-0.004,0.09
1947,0.9,0.193,0.265,-0.3795,-0.0365,-0.00449999999999995,-0.0415,-0.228,0.0155000000000001,-0.017,-0.0870000000000001,-0.0775,-0.2075,-0.026,0.0905
1948,0.9465,0.139,0.2165,-0.4275,-0.04,-0.0175,-0.0895,-0.2165,-0.004,-0.056,-0.115,-0.0885,-0.2515,-0.0405000000000001,0.0940000000000001
1949,0.9545,0.1375,0.155,-0.39,-0.0429999999999999,-0.011,-0.0850000000000001,-0.1785,0.0565,-0.0405,-0.111,-0.067,-0.1905,0.00700000000000001,0.0745
1950,0.9725,0.13,0.1945,-0.3305,0.000499999999999945,0.0335000000000001,-0.0830000000000001,-0.1285,0.116,-0.032,-0.118,-0.0255,-0.1265,0.0499999999999999,0.077
1951,0.9275,0.102,0.179,-0.27,0.00950000000000006,0.0955000000000001,-0.0630000000000001,-0.076,0.172,-0.0295000000000001,-0.0725,-0.00800000000000001,-0.0895,0.0584999999999999,-0.00650000000000006
1952,1.0165,0.0375,0.1255,-0.226,-0.0600000000000001,0.1465,-0.0555,-0.0580000000000001,0.178,-0.00600000000000001,-0.0625,-0.0045,-0.0369999999999999,0.0545,-0.0825
1953,1.0505,0.00549999999999995,0.0499999999999998,-0.1695,-0.0725,0.1715,-0.0545,-0.0215,0.1445,-0.000500000000000056,-0.048,0.00700000000000001,0.018,0.0824999999999999,-0.0915
1954,0.964,-0.0775,-0.0685,-0.1745,-0.0509999999999999,0.131,-0.0965,0.00450000000000006,0.114,-0.00550000000000006,-0.035,0.0115,0.0690000000000001,0.0445,-0.1485
1955,0.717,-0.0475,-0.293,-0.201,-0.1385,0.0755,-0.1295,-0.018,-0.0489999999999999,-0.028,-0.0720000000000001,0.0195,0.0295,0.00550000000000006,-0.201
1956,0.6865,-0.0595,-0.4465,-0.203,-0.1695,0.077,-0.1015,-0.0155000000000001,-0.164,-0.0345,-0.0569999999999999,0.0369999999999999,-0.000500000000000056,-0.00900000000000001,-0.2305
1957,0.8505,-0.003,-0.4535,-0.1615,-0.1985,0.115,-0.099,-0.0245,-0.199,-0.0205,-0.0559999999999999,0.048,0.00650000000000006,0.0135,-0.226
1958,0.806,0.0129999999999999,-0.5395,-0.162,-0.175,0.106,-0.1025,0.0155,-0.199,-0.0089999999999999,-0.049,0.0549999999999999,0.017,0.0620000000000001,-0.2415
1959,0.7,0.00249999999999995,-0.5405,-0.207,-0.1885,0.0800000000000001,-0.0964999999999999,0.0395000000000001,-0.277,-0.0225,-0.0805,0.0574999999999999,-0.0415,0.0679999999999999,-0.23
1960,0.5035,-0.042,-0.5745,-0.2315,-0.2435,-0.025,-0.098,0.019,-0.3525,-0.0659999999999999,-0.086,0.0015,-0.136,0.0595,-0.245
1961,0.4115,-0.0275000000000001,-0.5165,-0.2085,-0.197,-0.0875,-0.1,0.0479999999999999,-0.4115,-0.0605,-0.081,0.00649999999999995,-0.141,0.125,-0.168
1962,0.11,-0.0175,-0.4845,-0.192,-0.153,-0.1465,-0.0925,0.103,-0.409,-0.0895,-0.0760000000000001,0.0105,-0.1825,0.1445,-0.1315
1963,0.125,0.004,-0.3505,-0.1655,-0.1385,-0.1245,-0.0890000000000001,0.1335,-0.317,-0.0765,-0.0609999999999999,0.025,-0.2145,0.18,-0.106
1964,0.1565,0.0679999999999999,-0.2105,-0.1245,-0.1045,-0.0759999999999998,-0.0455,0.177,-0.2325,-0.0525,-0.0465,0.0385,-0.2165,0.226,-0.029
1965,0.0439999999999996,-0.00250000000000006,-0.0885,-0.0990000000000001,-0.0679999999999999,-0.0845,-0.0205,0.2085,-0.0450000000000002,-0.029,-0.03,0.0125000000000001,-0.2505,0.271,0.0125
1966,-0.153,0.00250000000000006,0.0459999999999999,-0.0730000000000001,-0.0259999999999999,-0.087,-0.015,0.237,0.079,-0.0255,-0.0265000000000001,0.00150000000000006,-0.234,0.2785,0.0609999999999999
1967,-0.492,-0.0735,0.0649999999999999,-0.082,-0.00849999999999995,-0.121,-0.0105000000000001,0.243,0.133,-0.0165,-0.024,-0.00600000000000001,-0.2325,0.265,0.074
1968,-0.654,-0.0545,0.185,-0.0615,-0.0105,-0.1185,0.0305,0.223,0.186,0.011,-0.00600000000000001,-0.00499999999999989,-0.2065,0.257,0.0914999999999999
1969,-0.7685,-0.1035,0.1785,-0.0325,0.01,-0.163,0.0414999999999999,0.1745,0.233,0.0205,0.0105,-0.00700000000000001,-0.1805,0.2155,0.102
1970,-0.9355,-0.0650000000000001,0.206,-0.0265000000000001,0.033,-0.1415,0.0509999999999999,0.152,0.277,0.0555,0.012,0.00750000000000001,-0.117,0.179,0.125
1971,-1.056,-0.0825,0.1565,-0.0565,0.00650000000000006,-0.1595,0.0549999999999999,0.0805,0.2735,0.022,-0.011,-0.017,-0.1275,0.0910000000000001,0.103
1972,-0.8945,-0.0595,0.188,-0.0620000000000001,0.012,-0.138,0.0545000000000001,0.0235,0.259,0.0225000000000001,-0.0255,-0.0265,-0.125,0.0719999999999998,0.147
1973,-1.0945,-0.108,0.0725,-0.096,0.034,-0.1815,0.0640000000000001,-0.0409999999999999,0.1375,-0.0229999999999999,-0.041,-0.0679999999999999,-0.129,-0.032,0.169
1974,-1.099,-0.0675,0.041,-0.1005,0.0535,-0.1965,0.072,-0.0745,0.0665,-0.0519999999999999,-0.0305,-0.0705,-0.08,-0.0510000000000002,0.1715
1975,-0.9075,-0.0419999999999999,0.0235000000000001,-0.1155,0.0885,-0.1775,0.07,-0.0810000000000001,-0.0994999999999999,-0.0794999999999999,-0.0215,-0.0505000000000001,-0.033,-0.111,0.2085
1976,-0.7415,-0.00350000000000006,-0.0199999999999999,-0.1025,0.0845,-0.157,0.056,-0.098,-0.1755,-0.0600000000000001,-0.016,-0.049,-0.018,-0.1395,0.2135
1977,-0.5135,0.077,0.017,-0.0650000000000001,0.1425,-0.092,0.0675,-0.0685,-0.187,-0.0495,0.001,-0.025,0.0295,-0.1335,0.251
1978,-0.345499999999999,0.0785,-0.001,-0.0435,0.1495,-0.0324999999999999,0.0439999999999999,-0.0629999999999999,-0.2435,-0.0645,-0.00549999999999995,-0.0200000000000001,0.042,-0.1785,0.292
1979,-0.2185,0.1465,0.025,-0.028,0.136,0.04,0.014,-0.055,-0.225,-0.0795,-0.00949999999999995,-0.039,0.0215,-0.1965,0.3145
1980,0.0550000000000002,0.1245,0.03,-0.0205,0.156,0.1225,0.00350000000000006,-0.015,-0.21,-0.086,-0.00549999999999995,-0.0365,0.005,-0.163,0.3905
1981,0.4135,0.173,0.1105,0.0245,0.197,0.2125,0.0150000000000001,0.0375,-0.1985,-0.0499999999999999,0.0315,0.0035,0.0609999999999999,-0.105,0.449
1982,0.568,0.136,0.0625,0.0485,0.2155,0.249,0.0225,0.0429999999999999,-0.189,-0.029,0.04,0.015,0.0674999999999999,-0.143,0.426
1983,0.8005,0.1635,0.094,0.084,0.1935,0.25,0.000500000000000056,0.0595,-0.116,0.0135,0.045,0.043,0.0964999999999999,-0.0885000000000001,0.383
1984,0.748,0.0680000000000001,0.0584999999999999,0.084,0.1445,0.2395,-0.0305,0.0315,-0.0975,0.0215,0.0215,0.0225,0.0219999999999999,-0.1355,0.316
1985,0.613,0.0235,0.0289999999999999,0.072,0.0679999999999998,0.2045,-0.0545,-0.0145,-0.046,0.0069999999999999,-0.016,0.00700000000000001,-0.0165000000000001,-0.163,0.226
1986,0.6985,0.0615,0.0885,0.0805,0.0444999999999999,0.2265,-0.028,-0.029,0.001,-0.0245,-0.017,0.0115,0.0175,-0.1125,0.265
1987,0.8655,0.0365000000000001,0.1485,0.045,-0.00100000000000011,0.214,-0.0609999999999999,-0.076,-0.0105000000000001,-0.046,-0.0265,-0.0235,-0.0185,-0.1275,0.2685
1988,0.7295,0.0215000000000001,0.0669999999999999,0.0185,-0.0185,0.1055,-0.0609999999999999,-0.1175,-0.0145000000000001,-0.0715,-0.0305,-0.0295,-0.069,-0.136,0.21
1989,0.6085,-0.0225,0.0329999999999999,-0.018,-0.0350000000000001,0.0369999999999999,-0.0475,-0.1385,-0.0585,-0.0659999999999999,-0.019,-0.0295,-0.0735,-0.142,0.1365
1990,0.515,0.016,0.0594999999999999,0.00649999999999995,-0.073,-0.0145000000000001,-0.0405,-0.18,-0.0895,-0.0685,0.0205,-0.0235,-0.036,-0.1945,0.018
1991,0.1035,-0.0469999999999999,-0.0149999999999999,-0.027,-0.1665,-0.0995,-0.055,-0.2195,-0.0485000000000001,-0.0575000000000001,0.00800000000000001,-0.0535,-0.073,-0.2675,-0.0494999999999999
