"scaled","CA01","CA02","CA03","CA04","CA05","CA06","CA07","CA08","CA09","CA10","CA26","CA27","CA28","CA29","CA30"
1914,-1.68032666714055,0.51049988503182,-0.100842922627161,-0.371657829140586,0.162088156276503,-1.07473755394731,0.130279684486507,-0.267009151728695,-0.798859015714768,-0.517671062006877,-1.01325652934732,-0.232459162653587,-0.191919950945416,-1.90786090979124,-0.341163490985673
1915,-4.87332495445489,0.426378896925209,0.00537527541599928,-0.0909443681522063,0.133991257900294,-1.51198967639046,0.125570783288813,-0.298677213822432,-0.587434436650349,-0.452515801294819,-0.940928565400951,-0.229925729039873,-0.18247672759151,-1.38090630791901,-0.171660168277904
1916,-7.39635273148104,0.298277546755021,0.0908320446078389,-0.0247150191881469,0.137329377582515,-2.04476784986355,0.119191535260296,-0.282468264860235,-0.43643912698107,-0.427942970158455,-0.93563118336226,-0.175943174816561,-0.157370695924862,-0.961002330165569,-0.132183805054304
1917,-10.5183624573538,0.098283537576431,0.154921732058263,-0.0234536854429108,0.00240509117972286,-1.85865452187003,0.0991366852129645,-0.339482237293535,-0.261353602281309,-0.346331640771305,-0.754262977327642,-0.207238684298594,-0.164575470256256,-0.771204904677666,-0.12815900057157
1918,-15.529728863737,0.0751451798644275,0.193065232668458,0.0079410116066548,0.00524588286560706,-2.23038542624404,0.121563857505926,-0.367988379356351,-0.210712301876527,-0.27393196642324,-0.511566044921853,-0.216107944918381,-0.193107464225678,-0.683359847033656,-0.127446033264077
1919,-17.3248980825794,-0.181829680782624,0.230522357363944,0.0475487721970749,0.164803901757837,-2.00173065273827,0.0823232007527461,-0.428894216308299,-0.144724983805835,-0.201106558553773,-0.384717114383786,-0.21879483813459,-0.11823335614598,-0.525183397903941,-0.0505564916872017
1920,-17.0825308853215,-0.299129222681649,0.228631662672504,0.0936883431085443,0.171050549327758,-1.94680947448356,0.0449380760784842,-0.488018131452472,-0.184680466985028,-0.185636321829753,-0.364499482228394,-0.215940020205352,-0.0864666480912686,-0.410668509425176,-0.0428208469743259
1921,-18.6136466522805,-0.430015731817663,0.206326134606894,0.134935533947596,0.10739681756734,-2.25791541779259,0.0469934035636408,-0.486572775939969,-0.206155916369606,-0.125783545479538,-0.25448226087146,-0.198382346604821,0.00544975425598724,-0.328498700698481,0.0168398883268863
1922,-18.6136466522805,-0.604712634195261,0.188998116545361,0.167327220478783,0.0711507789737543,-2.30884584075031,0.0411406007128655,-0.413777815279635,-0.178845857402672,-0.0629696535663808,-0.105796528791848,-0.214381376785274,0.0181479212277609,-0.324532310816665,-0.126471440785596
1923,-18.6136466522805,-0.71383905141698,0.128999685788867,0.251893609284871,0.251759448879074,-2.05419372596168,0.0550008407799811,-0.316125239080756,-0.162775828630275,0.133148201118979,0.00562966794124585,-0.145198242944161,0.108952341370951,-0.264377154244583,-0.135605416527033
1924,-17.4920192859484,-0.578574953013018,0.0896401798269188,0.261767161090458,0.439916510672908,-2.17303137952971,0.0611633999710156,-0.22811010122439,-0.0590852682758509,0.354285980583725,0.0638202453709592,-0.132077988623818,0.132147026630813,-0.261595470394165,-0.081392793579951
1925,-15.3554813266165,-0.465676524067675,0.00976380288257303,0.249703698252953,0.528742736009823,-1.88866985134906,0.083797786864516,-0.095826318559227,0.0537490247335019,0.558136901415104,0.02081459907032,-0.143072062663582,0.077733545076949,-0.217907439090082,-0.0889984212935677
1926,-10.4926209010246,-0.440442601821372,0.0103737992376156,0.248637252692904,0.530450665911806,-0.993711908652391,0.0932153003805144,0.00601531403895829,0.0829961676863357,0.763498278109603,0.0370052653232942,-0.137632590640187,0.0701550657518983,-0.201590652772728,-0.120409628808945
1927,-6.47516344228787,-0.393835827430942,-0.012643067820844,0.246768971520084,0.63057153328851,-0.703699625438494,0.126620920593074,0.270053463448644,0.041487104060138,0.73902194735133,-0.0259684133283373,-0.14061649504431,0.0840891342959647,-0.203675491068921,-0.157056037576884
1928,-2.40287034833514,-0.256590853448222,0.0103644726769265,0.227571319623868,0.588923743377679,-0.602610627141041,0.126620920593074,0.482223551837799,0,0.73471231269393,-0.0675178746536768,-0.0491993848141995,0.139702340894361,-0.242091723600358,-0.143525055877953
