id_focal,id_tree,sp,distance_center,rumbo_degree,tree_height,tree_dbh,site
A12,15,Qpyr,161,302,11.6,28.65,SJ
A12,16,Qpyr,938,38,7.9,11.78,SJ
A12,17,Qpyr,995,22,7.2,15.28,SJ
A12,18,Qpyr,797,64,5.8,21.65,SJ
A13,19,Qpyr,967,265,6.6,8.44,SJ
A13,20,Qpyr,732,336,9.6,32.79,SJ
A13,21,Qpyr,562,82,8.5,25.78,SJ
A13,22,Qpyr,580,96,8.1,10.19,SJ
A13,23,Qpyr,672,120,8,9.23,SJ
A13,24,Qpyr,645,122,7.6,8.28,SJ
A13,25,Qpyr,568,126,7.4,8.44,SJ
A13,26,Qpyr,478,128,7,7.96,SJ
A13,27,Qpyr,515,132,8.15,9.55,SJ
A13,28,Qpyr,536,136,6.5,8.91,SJ
A13,29,Qpyr,627,140,6.7,14.32,SJ
A13,30,Qpyr,434,178,7.1,15.44,SJ
A14,31,Qpyr,67,220,11.9,20.37,SJ
A14,32,Qpyr,142,268,10.3,22.28,SJ
A14,33,Qpyr,268,240,9.8,15.28,SJ
A14,34,Qpyr,628,232,10.5,20.53,SJ
A14,35,Qpyr,817,228,6.8,15.12,SJ
A14,36,Qpyr,991,218,9.85,17.83,SJ
A14,37,Qpyr,712,40,5.7,14.8,SJ
A14,38,Qpyr,435,28,6.2,13.05,SJ
A14,39,Qpyr,102,44,5.9,25.15,SJ
A14,40,Qpyr,358,22,10.3,27.37,SJ
A14,41,Qpyr,693,190,8.5,27.53,SJ
A14,42,Qpyr,853,194,8.7,21.65,SJ
A15,43,Qpyr,134,242,13.3,29.28,SJ
A15,44,Qpyr,284,244,4.7,10.5,SJ
A15,45,Qpyr,322,230,14.4,35.81,SJ
A15,46,Qpyr,439,198,6.3,10.03,SJ
A15,47,Qpyr,520,208,13,34.7,SJ
A15,48,Qpyr,570,208,5,14.64,SJ
A15,49,Qpyr,622,206,7.3,18.78,SJ
A15,50,Qpyr,703,220,5.2,15.28,SJ
A15,51,Qpyr,809,186,13.6,34.22,SJ
A15,52,Qpyr,495,100,4,11.3,SJ
A15,53,Qpyr,542,94,6.2,19.42,SJ
A15,54,Qpyr,622,96,11,32.15,SJ
A15,55,Qpyr,953,122,12.3,29.6,SJ
A15,56,Qpyr,877,336,5.9,9.71,SJ
A15,57,Qpyr,985,338,3.2,7.96,SJ
A15,58,Qpyr,865,326,10.6,23.24,SJ
A15,59,Qpyr,956,320,8.5,16.87,SJ
A15,60,Qpyr,370,300,9.5,15.6,SJ
A16,504,Qpyr,142,250,7.7,20.37,SJ
A16,505,Qpyr,509,160,12.9,28.01,SJ
A16,506,Qpyr,557,160,15.4,28.65,SJ
A16,507,Qpyr,380,123,10.9,19.1,SJ
A16,508,Qpyr,788,80,13.8,17.19,SJ
A16,509,Cmon,757,80,2.8,8.44,SJ
A16,510,Qpyr,834,80,12.8,28.33,SJ
A16,511,Qpyr,930,152,14.8,26.42,SJ
A16,512,Qpyr,279,270,8.1,18.46,SJ
A16,513,Qpyr,290,300,10.7,18.78,SJ
A16,514,Qpyr,657,40,12.5,29.28,SJ
A16,515,Qpyr,862,290,13.3,22.44,SJ
A16,516,Qpyr,974,330,15.5,26.1,SJ
A17,537,Qpyr,550,320,7.6,17.83,SJ
A17,538,Qpyr,460,250,15.4,27.06,SJ
A17,539,Qpyr,520,210,7,10.35,SJ
A17,540,Qpyr,750,45,12.5,2.86,SJ
A17,541,Qpyr,490,55,7.7,8.91,SJ
A17,542,Qpyr,650,20,11.5,23.87,SJ
A17,543,Qpyr,743,110,8,17.51,SJ
A17,544,Qpyr,860,92,15.3,30.24,SJ
A17,545,Qpyr,790,168,15,29.6,SJ
A17,546,Qpyr,950,115,6.5,8.59,SJ
A17,547,Qpyr,942,80,8,11.14,SJ
A17,548,Qpyr,320,170,12.5,26.1,SJ
A17,549,Qpyr,768,280,12.7,31.19,SJ
A17,550,Qpyr,880,250,7.55,15.28,SJ
A18,551,Qpyr,750,50,7.6,17.83,SJ
A18,552,Qpyr,490,105,15.4,27.06,SJ
A18,553,Qpyr,940,110,7,10.35,SJ
A18,554,Qpyr,930,170,7.55,15.28,SJ
A18,555,Qpyr,760,325,6.5,12.1,SJ
A18,556,Qpyr,850,290,15.9,30.24,SJ
A18,557,Qpyr,910,240,12.6,28.97,SJ
A18,558,Qpyr,780,100,12.4,31.83,SJ
A18,559,Qpyr,650,215,11.5,28.01,SJ
A18,560,Qpyr,890,340,9.5,23.87,SJ
A19,561,Qpyr,870,310,6.5,8.59,SJ
A19,562,Qpyr,940,290,8,11.14,SJ
A19,563,Qpyr,970,150,9.3,21.96,SJ
A19,564,Qpyr,420,165,11.5,28.17,SJ
A19,565,Qpyr,920,190,7.1,14.96,SJ
A19,566,Qpyr,410,105,10.6,18.78,SJ
A19,567,Qpyr,650,200,4.5,13.37,SJ
A19,568,Qpyr,713,235,8.6,24.19,SJ
A19,569,Qpyr,267,220,13.5,31.19,SJ
A19,570,Qpyr,634,80,7.2,15.12,SJ
A20,517,Qpyr,218,60,16,25.46,SJ
A20,518,Qpyr,460,70,14.8,19.1,SJ
A20,519,Qpyr,469,76,13.6,24.19,SJ
A20,520,Qpyr,716,55,14.1,22.6,SJ
A20,521,Qpyr,560,150,14.2,18.62,SJ
A20,522,Qpyr,464,150,15.4,29.6,SJ
A20,523,Cmon,429,140,3.5,9.55,SJ
A20,524,Qpyr,639,230,14.6,20.21,SJ
A20,525,Qpyr,411,250,15.4,25.15,SJ
A20,526,Cmon,869,245,3,10.03,SJ
A20,527,Qpyr,428,267,15.9,16.55,SJ
A20,528,Qpyr,388,296,16.9,28.65,SJ
A20,529,Qpyr,386,334,15.3,28.33,SJ
A20,530,Qpyr,642,340,13.6,19.1,SJ
A20,531,Qpyr,962,320,17.8,30.24,SJ
A20,532,Qpyr,971,320,15.8,21.17,SJ
A20,533,Qpyr,600,26,11.8,16.87,SJ
A20,534,Qpyr,798,26,13.3,20.37,SJ
A20,535,Qpyr,840,35,13.5,17.51,SJ
A20,536,Qpyr,992,40,13.6,23.55,SJ
B01,61,Qpyr,841,144,4.3,8.12,CA-Low
B01,62,Qpyr,901,170,5.9,15.44,CA-Low
B01,63,Qpyr,260,246,10.6,45.68,CA-Low
B01,64,Qpyr,314,268,13.5,50.77,CA-Low
B01,65,Qpyr,680,310,13.6,56.34,CA-Low
B01,66,Qpyr,816,328,6.5,11.46,CA-Low
B01,67,Qpyr,983,316,11.9,45.84,CA-Low
B02,68,Qpyr,424,38,12.2,51.25,CA-Low
B02,69,Qpyr,571,8,9.3,35.49,CA-Low
B02,70,Qpyr,461,340,7.6,13.37,CA-Low
B02,71,Qpyr,875,306,7.5,54.91,CA-Low
B02,72,Qpyr,731,282,6,9.23,CA-Low
B02,73,Qpyr,798,274,6.3,10.19,CA-Low
B02,74,Qpyr,969,286,6.9,10.03,CA-Low
B02,75,Qpyr,931,266,4.8,8.12,CA-Low
B02,76,Qpyr,616,226,8.2,13.21,CA-Low
B02,77,Qpyr,756,242,7.4,11.46,CA-Low
B02,78,Qpyr,775,228,6.8,10.98,CA-Low
B02,79,Qpyr,814,216,6,9.07,CA-Low
B02,80,Qpyr,722,182,12.1,38.2,CA-Low
B03,81,Qpyr,656,42,9.8,34.54,CA-Low
B03,82,Qpyr,978,342,9.6,11.62,CA-Low
B03,83,Qpyr,906,310,11,22.28,CA-Low
B03,84,Qpyr,720,286,5.2,11.3,CA-Low
B03,85,Qpyr,919,258,7.1,14.32,CA-Low
B03,86,Qpyr,898,218,4.5,8.44,CA-Low
B03,87,Qpyr,496,156,8.7,14.01,CA-Low
B03,88,Qpyr,663,152,10.3,16.23,CA-Low
B03,89,Qpyr,848,154,8.1,14.96,CA-Low
B03,90,Qpyr,898,122,6.9,13.85,CA-Low
B03,91,Qpyr,499,118,11.6,33.74,CA-Low
B03,92,Qpyr,857,110,10.8,38.52,CA-Low
B04,93,Qpyr,974,206,9.6,18.94,CA-Low
B04,94,Qpyr,853,236,10.5,36.76,CA-Low
B04,95,Qpyr,929,266,10.6,14.01,CA-Low
B04,96,Qpyr,861,282,11.6,33.58,CA-Low
B04,97,Qpyr,978,310,8.1,12.25,CA-Low
B04,98,Qpyr,922,316,7.6,12.89,CA-Low
B04,99,Qpyr,797,335,6.8,8.91,CA-Low
B04,100,Qpyr,915,353,6.4,12.1,CA-Low
B04,101,Qpyr,765,339,10.4,14.16,CA-Low
B04,102,Qpyr,572,342,9.9,15.28,CA-Low
B04,103,Qpyr,688,13,7.7,11.62,CA-Low
B04,104,Qpyr,992,21,10.1,15.92,CA-Low
B04,105,Qpyr,980,30,5.8,9.55,CA-Low
B04,106,Qpyr,576,14,10.3,18.62,CA-Low
B04,107,Qpyr,568,38,5.8,11.3,CA-Low
B04,108,Qpyr,439,9,6.4,8.91,CA-Low
B04,109,Qpyr,332,37,5.1,9.71,CA-Low
B04,110,Qpyr,280,302,13.1,44.56,CA-Low
B04,111,Qpyr,144,225,14.1,33.9,CA-Low
B05,112,Qpyr,810,62,6.9,8.28,CA-Low
B05,113,Qpyr,653,45,7.3,8.59,CA-Low
B05,114,Qpyr,845,30,10.6,13.05,CA-Low
B05,115,Qpyr,723,6,10.05,10.98,CA-Low
B05,116,Qpyr,782,1,11.4,13.53,CA-Low
B05,117,Qpyr,830,358,11.8,19.26,CA-Low
B05,118,Qpyr,852,350,7.7,12.73,CA-Low
B05,119,Qpyr,727,345,6.8,8.75,CA-Low
B05,120,Qpyr,673,333,6.4,8.85,CA-Low
B05,121,Qpyr,740,331,12.3,18.3,CA-Low
B05,122,Qpyr,756,328,8.3,11.14,CA-Low
B05,123,Qpyr,549,306,12.1,40.74,CA-Low
B05,124,Qpyr,304,318,8.1,12.41,CA-Low
B05,125,Qpyr,366,300,10.6,16.23,CA-Low
B05,126,Qpyr,693,290,11.2,32.47,CA-Low
B05,127,Qpyr,880,226,6.9,10.5,CA-Low
B05,128,Qpyr,624,190,12,30.56,CA-Low
B05,129,Qpyr,415,209,11.4,16.55,CA-Low
B05,130,Qpyr,390,220,12.5,20.05,CA-Low
B05,131,Qpyr,289,206,8.5,14.32,CA-Low
B05,132,Qpyr,147,192,5.8,7.96,CA-Low
B05,133,Qpyr,496,190,7.1,10.82,CA-Low
B05,134,Qpyr,426,150,6.8,9.87,CA-Low
B05,135,Qpyr,531,151,7.8,9.71,CA-Low
B05,136,Qpyr,628,152,10.8,13.37,CA-Low
B05,137,Qpyr,802,165,12.5,21.17,CA-Low
B05,138,Qpyr,964,168,12,18.46,CA-Low
B05,139,Qpyr,818,142,11.7,16.87,CA-Low
B05,140,Qpyr,726,145,12.1,19.74,CA-Low
B05,141,Qpyr,866,140,10.6,14.01,CA-Low
B05,142,Qpyr,724,118,11.6,33.58,CA-Low
B05,143,Qpyr,901,72,7.6,12.89,CA-Low
B05,144,Qpyr,774,78,8.1,12.25,CA-Low
B06,145,Qpyr,305,30,12.6,46.15,CA-Low
B06,146,Qpyr,873,102,10.8,19.1,CA-Low
B06,147,Qpyr,821,100,4.9,9.55,CA-Low
B06,148,Qpyr,738,158,6.7,9.07,CA-Low
B06,149,Qpyr,959,151,7.9,14.01,CA-Low
B06,150,Qpyr,595,214,9.4,15.76,CA-Low
B06,151,Qpyr,990,224,10.7,15.12,CA-Low
B07,152,Qpyr,664,180,6.3,11.78,CA-Low
B07,153,Qpyr,735,190,5.6,11.14,CA-Low
B07,154,Qpyr,573,188,5.8,10.82,CA-Low
B07,155,Qpyr,555,214,5.4,8.44,CA-Low
B07,156,Qpyr,763,240,6.1,8.12,CA-Low
B07,157,Qpyr,848,296,8.7,9.87,CA-Low
B07,158,Qpyr,555,342,5.5,8.12,CA-Low
B07,159,Qpyr,144,242,12.8,59.21,CA-Low
B08,160,Qpyr,643,62,4.6,7.96,CA-Low
B08,161,Qpyr,670,118,10.2,48.38,CA-Low
B08,162,Qpyr,948,121,11.2,56.98,CA-Low
B08,163,Qpyr,985,133,10.8,51.88,CA-Low
B08,164,Qpyr,800,181,8.2,22.44,CA-Low
B08,165,Qpyr,765,190,8.6,30.24,CA-Low
B08,166,Qpyr,684,198,4.8,9.55,CA-Low
B08,167,Qpyr,553,201,6.8,14.64,CA-Low
B08,168,Qpyr,858,262,6.3,11.78,CA-Low
B08,169,Qpyr,997,265,5.6,11.14,CA-Low
B08,170,Qpyr,972,282,5.8,10.82,CA-Low
B09,395,Qpyr,561,222,16.8,50.29,CA-Low
B09,396,Qpyr,958,222,14.9,46.31,CA-Low
B09,397,Qpyr,913,284,8.7,13.05,CA-Low
B09,398,Qpyr,722,292,9,12.1,CA-Low
B09,399,Qpyr,593,275,5,9.87,CA-Low
B09,400,Qpyr,761,320,4.8,8.44,CA-Low
B09,401,Qpyr,677,320,5.8,9.23,CA-Low
B09,402,Qpyr,744,326,7.8,10.66,CA-Low
B09,403,Qpyr,934,338,7.1,9.87,CA-Low
B09,404,Qpyr,798,4,7.3,10.03,CA-Low
B09,405,Qpyr,354,90,12.2,56.98,CA-Low
B09,406,Qpyr,385,122,12.7,46.79,CA-Low
B10,385,Qpyr,501,296,12.3,31.19,CA-Low
B10,386,Qpyr,615,310,6.4,8.44,CA-Low
B10,387,Qpyr,784,308,8.8,12.73,CA-Low
B10,388,Qpyr,823,338,8.5,13.05,CA-Low
B10,389,Qpyr,590,338,5.5,8.91,CA-Low
B10,390,Qpyr,393,51,14.6,41.54,CA-Low
B10,391,Qpyr,534,51,14.8,30.88,CA-Low
B10,392,Qpyr,998,107,8.8,29.13,CA-Low
B10,393,Qpyr,756,282,9.3,34.7,CA-Low
B10,394,Qpyr,925,12,7.05,10.5,CA-Low
B11,221,Qpyr,988,48,3,8.91,CA-High
B11,222,Qpyr,675,226,3.1,8.44,CA-High
B12,223,Qpyr,253,51,13.4,59.21,CA-High
B12,224,Qpyr,311,14,6.9,12.57,CA-High
B12,225,Qpyr,461,38,11.4,27.06,CA-High
B12,226,Qpyr,478,40,9.2,23.24,CA-High
B12,227,Qpyr,578,18,11.7,21.33,CA-High
B12,228,Qpyr,901,44,8.4,22.6,CA-High
B12,229,Qpyr,519,210,6,10.98,CA-High
B12,230,Qpyr,659,208,6.9,16.23,CA-High
B12,231,Qpyr,984,180,4.1,8.44,CA-High
B12,232,Qpyr,693,126,7.9,12.41,CA-High
B12,233,Qpyr,790,118,8.3,11.46,CA-High
B12,234,Qpyr,898,126,7,17.51,CA-High
B13,265,Qpyr,956,48,12,37.88,CA-High
B13,266,Qpyr,653,14,19.2,98.68,CA-High
B13,267,Qpyr,568,26,14.5,79.9,CA-High
B13,268,Qpyr,765,244,20.4,75.44,CA-High
B13,269,Qpyr,814,252,9.8,76.08,CA-High
B13,270,Qpyr,919,246,9.1,50.61,CA-High
B13,271,Qpyr,625,152,4.3,8.12,CA-High
B13,272,Qpyr,841,136,6.7,10.82,CA-High
B13,273,Qpyr,886,132,7.6,11.46,CA-High
B13,274,Qpyr,818,144,6,10.19,CA-High
B14,248,Qpyr,929,338,12.2,66.21,CA-High
B14,249,Qpyr,931,48,13,24.67,CA-High
B14,250,Qpyr,769,78,6.3,10.19,CA-High
B14,251,Qpyr,854,68,5.7,8.12,CA-High
B14,252,Qpyr,928,82,10.1,13.37,CA-High
B14,253,Qpyr,957,128,9,15.92,CA-High
B14,254,Qpyr,913,126,5.5,13.21,CA-High
B14,255,Qpyr,341,196,15.7,48.38,CA-High
B14,256,Qpyr,460,208,12,37.88,CA-High
B14,257,Qpyr,764,224,19.2,98.68,CA-High
B14,258,Qpyr,892,232,14.5,79.9,CA-High
B14,259,Qpyr,204,250,16,48.7,CA-High
B14,260,Qpyr,279,222,19.1,54.11,CA-High
B14,261,Qpyr,140,340,20,67.16,CA-High
B14,262,Qpyr,262,60,5.3,13.21,CA-High
B14,263,Qpyr,299,70,3.4,8.59,CA-High
B14,264,Qpyr,299,78,4.8,11.78,CA-High
B15,235,Qpyr,977,280,6.6,9.87,CA-High
B15,236,Qpyr,985,310,4.4,9.23,CA-High
B15,237,Qpyr,921,276,6.8,13.05,CA-High
B15,238,Qpyr,774,208,13,24.67,CA-High
B15,239,Qpyr,790,204,13.8,25.78,CA-High
B15,240,Qpyr,835,166,8.1,10.35,CA-High
B15,241,Qpyr,935,158,9.9,13.37,CA-High
B15,242,Qpyr,893,156,8.7,11.46,CA-High
B15,243,Qpyr,863,152,4.3,8.59,CA-High
B15,244,Qpyr,746,118,4.9,13.37,CA-High
B15,245,Qpyr,780,114,5.6,8.28,CA-High
B15,246,Qpyr,960,92,7.8,10.35,CA-High
B15,247,Qpyr,455,162,10.7,18.46,CA-High
B16,275,Qpyr,775,48,6,53.95,CA-High
B16,276,Qpyr,940,70,14.6,68.44,CA-High
B16,277,Qpyr,665,150,15.8,50.93,CA-High
B16,278,Qpyr,994,198,11.7,40.11,CA-High
B16,279,Qpyr,249,218,16.7,66.21,CA-High
B16,280,Qpyr,132,126,17.3,65.25,CA-High
B16,281,Qpyr,998,270,6.3,10.35,CA-High
B17,282,Qpyr,200,178,16,56.02,CA-High
B17,283,Qpyr,973,196,6.4,8.44,CA-High
B17,284,Qpyr,298,156,16,54.43,CA-High
B17,285,Qpyr,467,148,3.7,10.19,CA-High
B17,286,Qpyr,340,110,13.2,47.43,CA-High
B17,287,Qpyr,380,102,3.9,10.98,CA-High
B17,288,Qpyr,224,80,11.7,52.52,CA-High
B17,289,Qpyr,210,70,12.8,4.93,CA-High
B17,290,Qpyr,160,22,14.9,56.02,CA-High
B17,291,Qpyr,785,28,8.6,11.3,CA-High
B17,292,Qpyr,830,16,7.4,9.87,CA-High
B17,293,Qpyr,842,18,4.9,9.07,CA-High
B17,294,Qpyr,942,16,9.7,15.6,CA-High
B17,295,Qpyr,994,26,4.4,8.75,CA-High
B17,296,Qpyr,785,338,5.3,8.44,CA-High
B17,297,Qpyr,727,336,6.2,8.12,CA-High
B17,298,Qpyr,845,302,5.7,8.91,CA-High
B18,299,Qpyr,772,94,13.1,57.93,CA-High
B18,300,Qpyr,731,168,15.9,60.8,CA-High
B18,301,Qpyr,912,164,14.9,50.29,CA-High
B18,302,Qpyr,907,188,14.7,46.79,CA-High
B18,303,Qpyr,632,258,14,42.02,CA-High
B18,304,Qpyr,780,338,14.8,75.44,CA-High
B19,305,Qpyr,190,242,12.8,52.2,CA-High
B19,306,Qpyr,329,248,13.1,53.16,CA-High
B19,307,Qpyr,963,188,19.5,73.53,CA-High
B19,308,Qpyr,920,72,8.9,18.46,CA-High
B19,309,Qpyr,621,24,5.7,10.35,CA-High
B19,310,Qpyr,738,22,4.8,11.3,CA-High
B19,311,Qpyr,799,26,6.3,10.66,CA-High
B19,312,Qpyr,802,20,5.9,14.16,CA-High
B19,313,Qpyr,886,18,7.7,16.07,CA-High
B19,314,Qpyr,945,16,5.4,12.73,CA-High
B20,315,Qpyr,971,18,13.8,58.57,CA-High
B20,316,Qpyr,685,50,3.4,8.28,CA-High
B20,317,Qpyr,380,162,11.4,73.85,CA-High
B20,318,Qpyr,469,182,13.3,61.75,CA-High
B20,319,Qpyr,756,174,12.8,43.61,CA-High
B21,320,Qpyr,950,298,9.9,37.24,CA-High
B21,321,Qpyr,402,228,12.4,42.34,CA-High
B21,322,Qpyr,967,122,12,35.97,CA-High
B21,323,Qpyr,777,144,5.9,8.12,CA-High
B21,324,Qpyr,918,112,12.8,43.61,CA-High
B21,325,Qpyr,782,79,3.8,7.96,CA-High
B21,326,Qpyr,947,60,7.3,11.78,CA-High
B21,327,Qpyr,924,74,6.8,10.19,CA-High
B21,328,Qpyr,817,42,11.7,37.56,CA-High
B21,329,Qpyr,849,30,15.3,33.74,CA-High
B21,330,Qpyr,776,18,13,41.7,CA-High
B21,331,Qpyr,630,22,13.6,39.15,CA-High
B21,332,Qpyr,436,92,15.2,55.7,CA-High
B22,333,Qpyr,88,231,13.8,40.11,CA-High
B22,334,Qpyr,315,228,15.3,47.43,CA-High
B22,335,Qpyr,908,265,13.4,45.84,CA-High
B22,336,Qpyr,626,202,7.4,52.2,CA-High
B22,337,Qpyr,437,186,17.1,42.65,CA-High
B22,338,Qpyr,964,150,15.7,42.97,CA-High
B22,339,Qpyr,475,114,15.2,36.61,CA-High
B22,340,Qpyr,318,98,16.1,39.47,CA-High
B22,341,Qpyr,774,72,14.8,41.38,CA-High
B22,342,Qpyr,934,26,8.9,32.79,CA-High
B22,343,Qpyr,858,22,5.9,10.82,CA-High
B22,344,Qpyr,734,14,7.6,11.78,CA-High
B22,345,Qpyr,265,56,15.2,37.24,CA-High
B22,346,Qpyr,170,8,6,35.33,CA-High
B23,347,Qpyr,303,82,16,54.11,CA-High
B23,348,Qpyr,703,21,11.2,34.38,CA-High
B23,349,Qpyr,582,5,7.2,15.28,CA-High
B23,350,Qpyr,880,338,11.3,36.61,CA-High
B23,351,Qpyr,731,248,7.4,41.7,CA-High
B23,352,Qpyr,363,160,13.7,52.84,CA-High
B23,353,Qpyr,632,204,14.3,65.25,CA-High
B23,354,Qpyr,918,128,12.1,42.65,CA-High
B24,355,Qpyr,666,120,17.9,56.34,CA-High
B24,356,Qpyr,616,79,15.7,38.2,CA-High
B24,357,Qpyr,828,70,9.8,16.87,CA-High
B24,358,Qpyr,867,46,13.2,40.11,CA-High
B24,359,Qpyr,676,40,15.4,33.1,CA-High
B24,360,Qpyr,580,22,11,36.29,CA-High
B24,361,Qpyr,916,38,16.7,51.57,CA-High
B24,362,Qpyr,697,10,8.3,33.26,CA-High
B24,363,Qpyr,954,336,17.2,42.02,CA-High
B24,364,Qpyr,662,310,10.9,30.88,CA-High
B24,365,Qpyr,328,208,9.6,12.67,CA-High
B24,366,Qpyr,864,182,8.1,10.5,CA-High
B24,367,Qpyr,870,182,8,9.87,CA-High
B25,368,Qpyr,412,320,12.1,39.15,CA-High
B25,369,Qpyr,586,20,8.9,13.37,CA-High
B25,370,Qpyr,676,9,8.1,13.85,CA-High
B25,371,Qpyr,690,20,8,13.37,CA-High
B25,372,Qpyr,784,9,6.6,8.44,CA-High
B25,373,Qpyr,780,29,9.5,12.73,CA-High
B25,374,Qpyr,748,29,8,11.3,CA-High
B25,375,Qpyr,821,29,7.3,12.1,CA-High
B25,376,Qpyr,756,40,9.4,13.05,CA-High
B25,377,Qpyr,888,47,11.1,19.42,CA-High
B25,378,Qpyr,856,51,8.1,10.82,CA-High
B25,379,Qpyr,924,51,11,22.28,CA-High
B25,380,Qpyr,863,60,10.1,15.44,CA-High
