"years","SJ01","SJ02","SJ03","SJ04","SJ05","SJ06","SJ07","SJ08","SJ09","SJ10","SJ11","SJ12","SJ13","SJ14","SJ15","SJ16","SJ17","SJ18","SJ19","SJ20"
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914666666666667,1.18333333333333,NA,1.7405,NA,3.055,2.95,2.95,1.1985,1.86466666666667
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.719333333333333,1.282,NA,1.583,NA,3.071,2.356,1.606,1.007,1.112
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272666666666667,1.13433333333333,NA,1.0675,NA,2.762,1.31933333333333,0.044,0.7585,-0.0246666666666666
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.232333333333334,0.884333333333333,NA,0.6735,NA,2.8325,0.337666666666667,-0.952,0.6315,-0.447666666666666
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.368166666666667,0.957333333333333,NA,0.543,NA,2.5445,0.313333333333333,-1.623,0.5705,-0.59
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.280333333333333,0.858333333333333,NA,0.4535,NA,2.57,0.154333333333333,-1.7345,0.402,-0.721333333333333
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.350666666666667,0.503,NA,0.2,NA,2.296,-0.389666666666666,-2.1055,0.2355,-0.821
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.533,0.238,NA,0.0710000000000002,NA,2.4465,-0.663,-2.234,0.208,-0.878
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.772333333333333,0.0106666666666668,NA,-0.0594999999999999,NA,2.7335,-0.860666666666666,-2.401,0.0780000000000001,-0.939
1955,NA,1.745,NA,NA,NA,NA,NA,NA,NA,NA,-0.769333333333333,-0.0710000000000002,NA,-0.126,NA,2.6045,-1.097,-2.468,-0.00499999999999989,-1.03566666666667
1956,-0.4795,1.089,NA,-1.933,NA,0.873833333333333,0.0920000000000001,NA,-0.435,NA,-0.869666666666667,-0.115,NA,-0.3795,NA,2.345,-1.263,-2.513,-0.152,-1.127
1957,-0.377,0.8195,-2.14,-1.2735,0.2895,1.3055,-0.1805,NA,-0.457,-0.0634999999999999,-0.843333333333333,-0.277666666666666,NA,-0.5085,-0.582999999999999,1.9565,-1.18966666666667,-1.8905,-0.177,-0.904666666666667
1958,-0.404,0.2525,-1.6445,-0.8365,0.573,1.57316666666667,-0.316,0.28,-0.471,0.0708333333333333,-0.726666666666667,-0.38,-0.00600000000000001,-0.5515,-0.2975,1.6425,-0.837333333333333,-1.222,-0.202,-0.553666666666667
1959,-0.4915,0.101999999999999,-1.049,-0.5355,0.568,1.746,-0.5855,-0.0720000000000001,-0.467333333333333,0.210166666666667,-0.497,-0.247,-0.173333333333333,-0.63,-0.056,1.0035,-0.542666666666666,-0.7705,-0.25,-0.453333333333333
1960,-0.505,-0.531,-0.9035,-0.3995,0.563,1.98483333333333,-0.745,-0.402,-0.410666666666667,0.1565,-0.437,-0.332333333333334,-0.2715,-0.76,-0.164,0.788,-0.625,-0.47,-0.213,-0.385333333333333
1961,-0.561,-1.0235,-1.048,-0.156,0.6035,1.9985,-0.816,-0.732,-0.452,-0.107666666666667,-0.376666666666667,-0.242,-0.446666666666667,-0.7565,0.0295000000000001,0.1815,-0.717666666666667,-0.459,-0.1265,-0.316
1962,-0.602,-1.4515,-1.352,0.0834999999999999,0.8535,1.84866666666667,-0.9025,-1.0775,-0.539,-0.329,-0.36,-0.179333333333334,-0.592666666666667,-0.754,-0.1445,-0.153,-0.619333333333334,-0.435,-0.166,-0.315
1963,-0.6985,-2.15,-1.7655,0.165,0.938,1.88883333333333,-1.157,-1.5235,-0.483333333333333,-0.462666666666666,-0.309666666666667,-0.118,-0.554333333333333,-0.8345,-0.3665,-1.09,-0.612333333333333,-0.5155,-0.3255,-0.325666666666667
1964,-1.218,-2.858,-2.2785,0.0949999999999998,0.7875,1.89216666666667,-1.4745,-1.9245,-0.512333333333333,-0.55,-0.240333333333333,-0.0106666666666668,-0.648166666666667,-0.9205,-0.7155,-1.8375,-0.600666666666667,-0.543,-0.3565,-0.369
1965,-1.493,-2.803,-2.411,0.0755000000000003,0.5445,1.713,-1.4065,-1.9,-0.413,-0.450666666666667,-0.329666666666667,-0.0886666666666667,-0.628166666666667,-1.0065,-0.9995,-2.226,-0.609,-0.602,-0.4405,-0.415
1966,-1.9635,-2.616,-2.438,-0.1835,-0.261,0.412333333333333,-1.492,-1.9815,-0.404,-0.556666666666667,-0.413333333333333,-0.305333333333333,-0.7285,-1.143,-1.2025,-2.689,-0.816,-0.6475,-0.516,-0.478333333333333
1967,-1.925,-2.4305,-2.345,-0.24,-0.365,-0.14,-1.319,-1.8285,-0.406,-0.521,-0.375333333333333,-0.199333333333334,-0.7755,-1.0445,-1.193,-2.549,-0.650666666666667,-0.57,-0.4535,-0.375666666666667
1968,-1.469,-1.8895,-1.9945,-0.1375,-0.2505,-0.617666666666667,-1.126,-1.4355,-0.381666666666666,-0.427666666666667,-0.206333333333333,-0.0699999999999998,-0.471833333333333,-0.746,-1.0615,-2.2245,-0.449333333333333,-0.393,-0.341,-0.177333333333333
1969,-1.4105,-1.7225,-1.999,-0.245,-0.3975,-1.211,-1.1095,-1.3905,-0.451,-0.908,-0.200666666666667,-0.316,-0.329,-0.5175,-1.0505,-2.134,-0.380666666666667,-0.455,-0.3245,-0.248333333333333
1970,-1.6285,-1.4795,-1.786,-0.2075,-0.671,-1.76433333333333,-1.3015,-1.4985,-0.636333333333333,-1.191,-0.130666666666667,-0.446333333333333,-0.413333333333333,-0.3625,-1.0205,-2.2595,-0.490666666666667,-0.4655,-0.425,-0.399
1971,-1.6975,-1.3095,-1.5595,-0.3875,-1.003,-2.182,-1.434,-1.4165,-0.656,-1.22133333333333,-0.157666666666667,-0.647333333333334,-0.503333333333333,-0.4195,-1.1695,-2.1455,-0.456,-0.449,-0.5215,-0.546666666666667
1972,-1.455,-1.0975,-1.03,-0.413,-1.077,-2.26466666666667,-1.409,-1.1385,-0.558,-1.121,-0.0846666666666667,-0.611,-0.427,-0.3795,-1.073,-2.067,-0.332333333333333,-0.3305,-0.463,-0.571666666666667
1973,-1.435,-0.899,-0.7825,-0.5905,-1.292,-2.539,-1.4435,-0.961,-0.715,-1.05633333333333,-0.0633333333333332,-0.755,-0.456333333333333,-0.386,-0.9145,-1.7885,-0.323333333333333,-0.2785,-0.3875,-0.673
1974,-1.316,-0.709,-0.5075,-0.6745,-1.352,-2.71066666666667,-1.3455,-0.8715,-0.807,-1.06033333333333,-0.0636666666666668,-0.944166666666667,-0.453333333333333,-0.3645,-0.783,-1.6625,-0.323,-0.2325,-0.388,-0.692
1975,-1.242,-0.599,-0.332,-0.671,-1.186,-2.621,-1.1825,-0.748,-0.794,-1.00433333333333,-0.0106666666666666,-0.935,-0.422333333333333,-0.288,-0.602,-1.486,-0.317333333333333,-0.179,-0.3215,-0.652
1976,-0.928,-0.396,-0.145,-0.498,-0.7055,-1.85833333333333,-0.9015,-0.4755,-0.698333333333333,-0.846333333333333,0.131666666666667,-0.7565,-0.257666666666667,-0.0445,-0.4475,-1.136,-0.143666666666667,-0.0595,-0.214,-0.545666666666667
1977,-0.719,-0.326,-0.0699999999999998,-0.4465,-0.857,-1.47133333333333,-0.8325,-0.469,-0.540333333333334,-0.793333333333333,0.227,-0.710666666666667,-0.085,0.133,-0.245,-1.0845,-0.120333333333333,-0.00750000000000006,-0.174,-0.562666666666667
1978,-0.9185,-0.474,-0.3445,-0.807,-1.255,-1.316,-0.889,-0.72,-0.571,-0.96,0.0916666666666666,-0.776833333333333,-0.276333333333333,-0.0289999999999999,-0.274,-1.35,-0.289,-0.1605,-0.219,-0.683666666666667
1979,-0.8535,-0.5435,-0.428,-0.974,-1.489,-1.15766666666667,-0.841,-0.745,-0.583666666666667,-0.761333333333333,-0.0110000000000001,-0.71,-0.469333333333333,-0.2155,-0.3445,-1.4525,-0.315333333333333,-0.1115,-0.1825,-0.566
1980,-0.656,-0.5445,-0.448,-1.058,-1.435,-1.05833333333333,-0.699,-0.689,-0.627666666666667,-0.64,-0.135,-0.608333333333333,-0.5,-0.35,-0.2965,-1.3805,-0.186333333333333,-0.0790000000000001,-0.129,-0.431333333333333
1981,-0.5235,-0.5645,-0.399,-0.938,-1.2045,-0.849666666666667,-0.5105,-0.6075,-0.620666666666667,-0.5,-0.148666666666667,-0.429,-0.432,-0.2995,-0.1775,-1.201,-0.120666666666667,-0.0650000000000001,-0.052,-0.305666666666667
1982,-0.5305,-0.5665,-0.4855,-0.905,-1.112,-0.806,-0.432,-0.616,-0.630666666666667,-0.422333333333333,-0.195666666666667,-0.418666666666667,-0.408666666666667,-0.2995,-0.0734999999999999,-1.106,-0.165,-0.0835,-0.0495,-0.256333333333333
1983,-0.4465,-0.493,-0.4915,-0.8395,-0.9445,-0.688666666666667,-0.323,-0.563,-0.535333333333333,-0.38,-0.256,-0.302833333333333,-0.365,-0.263,-0.0285,-0.914,-0.107666666666667,-0.0405,-0.019,-0.160333333333333
1984,-0.3795,-0.4165,-0.4635,-0.8445,-0.9005,-0.679666666666667,-0.2835,-0.491,-0.445,-0.317666666666667,-0.313666666666667,-0.2605,-0.314,-0.28,-0.0800000000000001,-0.8165,-0.154333333333333,-0.0555,0.0215,-0.137
1985,-0.3815,-0.463,-0.5325,-0.9815,-1.025,-0.790333333333333,-0.347,-0.5895,-0.475,-0.378666666666667,-0.4275,-0.2555,-0.330666666666667,-0.391,-0.2375,-0.826,-0.148,-0.0905,0.00700000000000001,-0.152333333333333
1986,-0.455,-0.534,-0.499,-0.9335,-1.145,-0.904,-0.349,-0.7035,-0.513333333333333,-0.477,-0.584833333333333,-0.252,-0.408666666666667,-0.5485,-0.2655,-0.7875,-0.138,-0.124,-0.0275,-0.133333333333333
1987,-0.5265,-0.51,-0.405,-0.725,-1.106,-0.983666666666667,-0.1465,-0.7115,-0.608,-0.440666666666667,-0.797666666666667,-0.386666666666667,-0.550333333333333,-0.721,-0.3535,-0.7205,-0.199,-0.1995,-0.0304999999999999,-0.0956666666666667
1988,-0.433,-0.4,-0.1385,-0.3375,-0.878,-0.925,0.106,-0.545,-0.562,-0.154666666666667,-0.864833333333333,-0.4425,-0.354666666666667,-0.6305,-0.4395,-0.4935,-0.169666666666667,-0.1815,-0.0195,-0.0463333333333333
1989,-0.362,-0.2995,-0.0195000000000001,-0.11,-0.603,-0.764333333333333,0.2675,-0.3985,-0.422666666666667,-0.0136666666666666,-0.843666666666667,-0.371,-0.128333333333333,-0.5165,-0.4245,-0.2255,-0.15,-0.2125,-0.0404999999999999,-0.0426666666666666
1990,-0.321,-0.2045,0.0484999999999998,0.0619999999999998,-0.4795,-0.571,0.38,-0.258,-0.265666666666667,0.127333333333333,-0.7805,-0.372166666666667,0.0686666666666668,-0.402,-0.4375,-0.0775000000000001,-0.193333333333333,-0.21,-0.0419999999999999,-0.0543333333333333
1991,-0.2685,-0.0634999999999999,0.1525,0.2,-0.3205,-0.317666666666667,0.4715,-0.086,-0.16,0.207666666666667,-0.739166666666667,-0.282,0.271,-0.304,-0.436,-0.0185000000000002,-0.219333333333333,-0.1735,-0.0345,-1.11022302462516e-16
1992,-0.201,0.0635,0.2765,0.439,-0.1185,-0.157666666666667,0.594,0.12,0.00499999999999989,0.340333333333333,-0.644333333333333,-0.170333333333333,0.528333333333333,-0.207,-0.4915,0.1035,-0.186666666666667,-0.1085,0.00550000000000006,0.0236666666666667
1993,-0.0885,0.1695,0.47,0.73,0.1635,-0.000333333333333297,0.745,0.3345,0.198166666666667,0.57,-0.481666666666667,-0.0325,0.822666666666667,-0.0579999999999999,-0.3875,0.2305,-0.111666666666667,-0.0665,0.0235000000000001,0.098
1994,0.0275,0.3135,0.663,1.0275,0.417,0.179,0.867,0.495,0.420666666666667,0.757,-0.34,0.1205,1.10966666666667,0.0695,-0.1765,0.4195,0.02,-0.003,0.043,0.197333333333333
1995,0.1135,0.419,0.77,1.2,0.576,0.315666666666667,0.9705,0.595,0.572166666666667,0.860666666666667,-0.221,0.1725,1.216,0.173,-0.00350000000000006,0.526,0.0823333333333334,0.0590000000000001,0.0835,0.263
1996,0.2145,0.474,0.678,1.051,0.7335,0.429666666666667,0.95,0.6915,0.657,0.945333333333333,-0.107833333333333,0.094,1.305,0.26,0.0345,0.408,0.0223333333333333,0.0315000000000001,0.0945,0.239666666666667
1997,0.2135,0.372,0.3905,0.5535,0.866,0.527333333333333,0.5435,0.6995,0.687833333333333,0.734666666666667,-0.0306666666666666,0.0559999999999999,1.297,0.2535,-0.0784999999999998,0.089,-0.0363333333333333,0.0129999999999999,-0.029,0.171333333333333
1998,0.1975,0.213,0.1535,0.2045,0.948,0.558666666666667,0.2035,0.6895,0.64,0.413,0.0475,0.127,1.00233333333333,0.207,0.0535000000000001,-0.103,-0.012,0.0740000000000001,-0.024,0.210666666666667
1999,0.2025,0.182,0.1625,0.206,1.083,0.586333333333333,0.0845,0.737,0.558333333333333,0.376666666666667,0.160666666666667,0.204,0.864,0.24,0.1875,-0.1115,0.0553333333333333,0.148,0.00749999999999995,0.223
2000,0.23,0.155,0.1585,0.1955,1.3795,0.653,0.012,0.84,0.534333333333333,0.4055,0.237666666666667,0.2535,0.839666666666667,0.2585,0.298,-0.0205,0.129333333333333,0.151,0.0375,0.248
2001,0.2755,0.0445,0.0670000000000002,0.2125,1.4865,0.522333333333333,-0.0940000000000001,0.766,0.481,0.4295,0.282166666666667,0.079,0.645333333333333,0.1615,0.3855,-0.0379999999999998,0.172,0.1325,0.00449999999999995,0.169666666666667
2002,0.226,-0.133,-0.0920000000000001,-0.0710000000000002,1.24,0.449,-0.2545,0.497,0.257,0.208,0.218166666666667,-0.07,0.232333333333333,0.0825,0.359,-0.1195,0.191,0.0685,-0.0425000000000001,0.142333333333333
2003,0.1605,-0.286,-0.2985,-0.359,1.0205,0.379333333333333,-0.4215,0.3265,0.000833333333333242,-0.0978333333333334,0.117333333333333,-0.2015,-0.200666666666667,-0.0425000000000001,0.1965,-0.2615,0.0969999999999999,0.003,-0.0485,0.085
2004,0.0695,-0.477,-0.4855,-0.6245,0.884,0.359666666666667,-0.5425,0.2355,-0.2625,-0.3145,0.1195,-0.237,-0.5885,-0.0955,0.024,-0.3655,0.0379999999999998,-0.0515,-0.0395000000000001,0.0326666666666666
2005,0.0865,-0.5095,-0.473,-0.573,0.8725,0.401,-0.5625,0.2355,-0.303333333333333,-0.297833333333333,0.1895,-0.221,-0.623666666666667,-0.0764999999999999,0.0634999999999999,-0.3485,0.0463333333333333,-0.0825,-0.046,0.0623333333333334
2006,0.0815,-0.4695,-0.3925,-0.443,0.8725,0.422166666666667,-0.5445,0.226,-0.3195,-0.279166666666667,0.2345,-0.135,-0.657166666666667,-0.032,0.1185,-0.202,0.143,-0.0590000000000001,-0.0155,0.127333333333333
