"years","CA11","CA12","CA13","CA14","CA15","CA16","CA17","CA18","CA19","CA20","CA21","CA22","CA23","CA24","CA25"
1911,-0.250229147571036,-0.0476947535771065,0.017467248908297,-0.114922813036021,-0.329861111111111,-0.192353643966547,-0.0984682713347921,-0.291993720565149,0.0992204110559888,-0.0159680638722555,-0.225085910652921,-0.289411764705882,-0.146840148698885,-0.0777537796976243,0.0239808153477217
1912,-0.279560036663611,-0.0190779014308426,-0.0378787878787877,-0.073608617594255,-0.318918918918919,-0.181707317073171,-0.0972850678733031,-0.273489932885906,0.0687455705173635,-0.0122199592668025,-0.2,-0.275184275184275,-0.0745967741935484,-0.0399999999999999,0.0608899297423887
1913,-0.279560036663611,-0.0190779014308426,-0.0378787878787877,-0.0635208711433756,-0.288135593220339,-0.230487804878049,-0.0655737704918031,-0.273489932885906,0.0687455705173635,-0.0122199592668025,-0.192857142857143,-0.253164556962025,-0.057494866529774,-0.0399999999999999,0.131147540983607
1914,-0.219463753723933,-0.0714285714285715,-0.0984848484848483,-0.047970479704797,-0.257936507936508,-0.279268292682927,-0.00746268656716402,-0.261818181818182,0.0176429075511644,-0.0539999999999999,-0.169117647058824,-0.236559139784946,-0.0275423728813561,-0.00230946882217085,0.18705035971223
1915,-0.176154672395274,-0.103174603174603,-0.112886048988285,0.00369003690036893,-0.20253164556962,-0.279268292682927,-0.00746268656716402,-0.226666666666667,-0.0811573747353564,-0.0675944333996022,-0.164510166358595,-0.181286549707602,0.0221238938053097,0.0139860139860139,0.196642685851319
1916,-0.155172413793103,-0.0813008130081301,-0.053248136315229,0.0342205323193916,-0.18510158013544,-0.249006622516556,-0.0348258706467661,-0.255813953488372,-0.273106323835997,-0.127236580516898,-0.160747663551402,-0.163636363636364,0.00663716814159298,0.0308056872037912,0.229064039408867
1917,-0.151270207852194,-0.126829268292683,0.0191693290734824,-0.0285171102661598,-0.221218961625282,-0.188841201716738,-0.0323383084577114,-0.255813953488372,-0.342438374417055,-0.122,-0.166355140186916,-0.150769230769231,0.011061946902655,0.0118483412322272,0.229064039408867
1918,-0.157706093189964,-0.179365079365079,-0.0958466453674122,-0.0494296577946768,-0.234762979683973,-0.219298245614035,-0.0572139303482586,-0.243027888446215,-0.398401065956029,-0.182555780933063,-0.153996101364523,-0.172307692307692,0.0269662921348317,-0.0402843601895736,0.229064039408867
1919,-0.171290711700844,-0.174267100977199,-0.206153846153846,-0.0310077519379845,-0.227058823529412,-0.210059171597633,-0.0970149253731343,-0.211934156378601,-0.444229529335912,-0.182555780933063,-0.143459915611814,-0.178125,0.0269662921348317,-0.0377358490566038,0.2
1920,-0.185765983112183,-0.174267100977199,-0.218461538461539,-0.0406976744186048,-0.218292682926829,-0.219298245614035,-0.148148148148148,-0.181623931623932,-0.445519019987105,-0.182555780933063,-0.191897654584222,-0.174757281553398,-0.00884955752212371,-0.0675990675990676,0.155660377358491
