series;yeari;yearend;length_years;nsegment;nflags;corr_w_master;mean_msmt;max_msmt;std_dev;autocorr;mean_sens;max_value;std_dev_filt;autocorr_filter;AR;site
SNB2601;1872;2016;145;6;2;.489;.96;3.63;.592;.803;.228;2.80;.377;-.034;4;CA-Low
SNB2602;1867;2016;150;6;0;.546;1.00;2.71;.459;.759;.223;2.84;.439;-.019;1;CA-Low
SNB2701;1865;2016;152;6;0;.422;1.06;4.10;.666;.913;.181;2.80;.383;.026;1;CA-Low
SNB2702g;1863;2016;154;6;0;.565;.90;2.56;.440;.761;.198;2.53;.387;-.015;1;CA-Low
SNB2801;1860;2016;157;6;1;.467;1.19;3.41;.644;.842;.197;2.61;.362;.047;1;CA-Low
SNB2802;1866;2016;151;6;0;.550;.83;2.16;.389;.791;.240;2.74;.476;-.008;1;CA-Low
SNB2901;1877;2016;140;5;0;.629;1.22;4.35;.631;.819;.196;2.84;.560;-.001;1;CA-Low
SNB2902;1892;2016;125;5;0;.514;1.28;3.36;.586;.844;.200;2.80;.457;-.035;1;CA-Low
SNB3001;1867;2016;150;6;0;.610;1.12;4.35;.603;.743;.230;2.79;.420;-.005;1;CA-Low
SNB3002;1874;2016;143;6;2;.477;1.28;3.54;.628;.816;.230;2.68;.353;.036;1;CA-Low
SNA0101;1947;2016;70;3;0;.775;2.08;9.49;2.004;.884;.299;2.67;.531;.077;2;SJ
SNA0102;1947;2016;70;3;0;.700;2.02;7.18;1.612;.836;.323;2.61;.480;.068;1;SJ
SNA0201;1946;2016;71;3;0;.601;1.68;6.17;1.380;.844;.290;2.50;.476;.006;2;SJ
SNA0202;1948;2016;69;3;0;.636;2.16;7.79;1.791;.784;.335;2.77;.620;.003;1;SJ
SNA0301;1949;2016;68;3;0;.653;2.31;9.39;2.257;.852;.310;2.81;.459;-.040;1;SJ
SNA0302;1948;2016;69;3;0;.764;2.14;10.95;1.825;.868;.331;2.90;.491;-.077;2;SJ
SNA0401;1947;2016;70;3;0;.711;2.37;7.41;1.535;.787;.312;2.87;.553;-.043;2;SJ
SNA0402;1947;2016;70;3;0;.763;2.27;9.60;1.430;.743;.308;2.99;.670;-.024;1;SJ
SNA0501;1953;2016;64;2;0;.711;1.66;5.55;1.080;.600;.386;2.97;.518;-.009;2;SJ
SNA0502;1948;2016;69;3;0;.760;2.10;5.80;1.363;.569;.414;2.97;.633;.019;1;SJ
SNA0601;1948;2016;69;3;0;.699;1.42;6.61;1.036;.585;.315;3.00;.490;-.063;2;SJ
SNA0602;1957;2016;60;2;0;.618;2.12;9.23;1.768;.769;.323;3.04;.612;-.085;2;SJ
SNA0603;1947;2012;66;3;0;.531;2.36;10.41;2.008;.730;.373;3.03;.585;-.039;1;SJ
SNA0701;1954;2016;63;2;0;.759;1.96;4.59;1.074;.817;.264;2.54;.470;-.068;2;SJ
SNA0702;1947;2016;70;3;0;.658;1.85;6.30;1.399;.828;.287;2.93;.618;.029;2;SJ
SNA0801;1949;2016;68;3;0;.703;1.70;5.14;1.191;.788;.348;2.80;.580;-.062;2;SJ
SNA0802;1951;2016;66;2;0;.740;1.98;5.29;1.328;.780;.338;2.61;.463;-.003;2;SJ
SNA0901;1947;2016;70;3;0;.621;1.61;3.55;.740;.748;.263;2.49;.407;-.034;2;SJ
SNA0902;1947;2016;70;3;0;.430;1.65;4.45;.927;.779;.278;2.72;.506;-.007;2;SJ
SNA0903;1947;2002;56;3;0;.517;1.85;4.53;1.035;.798;.233;2.84;.636;.063;1;SJ
SNA1001;1950;2016;67;2;0;.629;1.24;3.70;.888;.782;.319;2.67;.459;-.088;2;SJ
SNA1002;1953;2016;64;2;0;.669;1.75;5.32;1.055;.576;.372;2.89;.569;.002;4;SJ
SNA1003;1948;2008;61;3;0;.538;1.88;6.80;1.242;.667;.334;2.98;.508;-.074;2;SJ
SNA1101;1940;2016;77;3;0;.614;1.45;3.59;.718;.747;.288;2.63;.504;-.090;2;SJ
SNA1102;1929;2016;88;3;0;.607;1.54;5.16;.940;.690;.286;2.70;.551;-.140;2;SJ
SNA1103;1942;1994;53;2;0;.538;1.63;5.50;.881;.658;.249;2.80;.616;-.148;2;SJ
SNA1201;1929;2016;88;3;0;.607;1.48;4.26;.770;.603;.388;2.81;.530;-.045;2;SJ
SNA1202;1929;2016;88;3;0;.755;1.54;7.17;.980;.594;.374;2.59;.377;-.034;2;SJ
SNA1203;1927;1983;57;2;0;.742;2.09;3.72;.812;.401;.341;2.60;.477;-.017;1;SJ
SNA1301;1960;2016;57;2;0;.661;1.47;3.30;.800;.655;.323;2.73;.618;-.056;2;SJ
SNA1302;1949;2016;68;3;0;.513;1.20;2.31;.562;.529;.368;2.60;.482;.021;2;SJ
SNA1303;1949;2011;63;3;0;.564;2.03;4.42;.981;.646;.290;2.50;.386;-.061;2;SJ
SNA1401;1930;2016;87;3;0;.780;1.32;4.57;.838;.733;.346;2.50;.315;-.034;2;SJ
SNA1402;1949;2016;68;3;0;.775;1.34;3.93;.859;.838;.294;2.66;.480;-.032;2;SJ
SNA1501;1952;2016;65;2;0;.541;2.27;4.28;.792;.608;.227;2.54;.452;-.039;3;SJ
SNA1502;1948;2016;69;3;0;.547;2.34;8.18;1.318;.832;.229;2.61;.498;.011;1;SJ
SNA1601;1959;2016;58;2;0;.745;2.59;10.59;2.326;.861;.321;2.81;.503;.047;2;SJ
SNA1602;1927;2016;90;3;0;.732;2.14;6.45;1.577;.840;.330;2.55;.353;-.045;2;SJ
SNA1701;1926;2016;91;3;0;.637;1.45;8.31;1.266;.580;.363;2.69;.415;-.060;2;SJ
SNA1702;1930;2016;87;3;0;.588;1.29;4.94;.906;.655;.360;2.63;.432;-.047;2;SJ
SNA1703;1931;2016;86;3;0;.600;1.40;8.41;1.306;.671;.369;3.03;.537;-.038;2;SJ
SNA1801;1937;2016;80;3;0;.599;1.38;9.00;1.488;.736;.332;2.76;.530;.032;2;SJ
SNA1802;1936;2016;81;3;0;.669;1.29;8.60;1.447;.805;.306;2.96;.542;-.010;1;SJ
SNA1901;1921;2016;96;4;0;.588;.92;5.51;.764;.710;.349;3.07;.556;-.042;2;SJ
SNA1902;1924;2016;93;4;0;.443;.63;2.35;.561;.841;.298;2.81;.500;-.023;1;SJ
SNA2001;1932;2016;85;3;0;.597;1.63;7.40;1.111;.724;.279;2.83;.476;-.056;2;SJ
SNA2003;1932;2016;85;3;0;.453;1.10;6.73;.893;.699;.291;2.85;.509;-.106;1;SJ
SNA2002;1934;2016;83;3;0;.472;1.10;8.17;1.065;.692;.321;2.75;.404;-.068;1;SJ
