"vb","value","date"
"TM2",2.8,1954-01-31
"TM3",11.9,1954-01-31
"TM4",-3.2,1954-01-31
"PM1",15.2,1954-01-31
"TM1",7.4,1954-02-28
"TM2",2.3,1954-02-28
"TM3",12.5,1954-02-28
"TM4",-5.3,1954-02-28
"PM1",14.5,1954-02-28
"TM1",10.9,1954-03-31
"TM2",6.1,1954-03-31
"TM3",15.6,1954-03-31
"TM4",1,1954-03-31
"PM1",99.7,1954-03-31
"TM1",11.6,1954-04-30
"TM2",6.9,1954-04-30
"TM3",16.4,1954-04-30
"TM4",2.8,1954-04-30
"PM1",52,1954-04-30
"TM1",16.4,1954-05-31
"TM2",10.9,1954-05-31
"TM3",21.9,1954-05-31
"TM4",5.6,1954-05-31
"PM1",7.5,1954-05-31
"TM1",19,1954-06-30
"TM2",13.2,1954-06-30
"TM3",24.9,1954-06-30
"TM4",9.4,1954-06-30
"PM1",3,1954-06-30
"TM1",22,1954-07-31
"TM2",16.1,1954-07-31
"TM3",27.9,1954-07-31
"TM4",12,1954-07-31
"PM1",0.8,1954-07-31
"TM1",22.5,1954-08-31
"TM2",16.2,1954-08-31
"TM3",28.8,1954-08-31
"TM4",11.8,1954-08-31
"TM1",21.4,1954-09-30
"TM2",15,1954-09-30
"TM3",27.9,1954-09-30
"TM4",11.4,1954-09-30
"PM1",0,1954-09-30
"TM1",17.7,1954-10-31
"TM2",12.5,1954-10-31
"TM3",22.9,1954-10-31
"TM4",9.4,1954-10-31
"PM1",4.5,1954-10-31
"TM1",14.3,1954-11-30
"TM2",9.4,1954-11-30
"TM3",19.2,1954-11-30
"TM4",3.8,1954-11-30
"PM1",57.6,1954-11-30
"TM1",10.2,1954-12-31
"TM2",5.1,1954-12-31
"TM3",15.4,1954-12-31
"TM4",1.8,1954-12-31
"PM1",84.4,1954-12-31
"TM1",11,1955-01-31
"TM2",7,1955-01-31
"TM3",15,1955-01-31
"TM4",4,1955-01-31
"PM1",113.4,1955-01-31
"TM1",10.8,1955-02-28
"TM2",6,1955-02-28
"TM3",15.6,1955-02-28
"TM4",0.2,1955-02-28
"PM1",155.8,1955-02-28
"TM1",10.5,1955-03-31
"TM2",5.6,1955-03-31
"TM3",15.4,1955-03-31
"TM4",-2.8,1955-03-31
"PM1",36.7,1955-03-31
"TM1",13.6,1955-04-30
"TM2",8.5,1955-04-30
"TM3",18.7,1955-04-30
"TM4",5.8,1955-04-30
"PM1",36.8,1955-04-30
"TM1",18.1,1955-05-31
"TM2",12.6,1955-05-31
"TM3",23.5,1955-05-31
"TM4",9.2,1955-05-31
"PM1",3.8,1955-05-31
"TM1",19.5,1955-06-30
"TM2",14.1,1955-06-30
"TM3",24.9,1955-06-30
"TM4",10,1955-06-30
"PM1",18.3,1955-06-30
"TM1",23.1,1955-07-31
"TM2",17.3,1955-07-31
"TM3",28.9,1955-07-31
"TM4",14,1955-07-31
"PM1",1.1,1955-07-31
"TM1",22.8,1955-08-31
"TM2",17,1955-08-31
"TM3",28.7,1955-08-31
"TM4",14.8,1955-08-31
"PM1",0.6,1955-08-31
"TM1",20.2,1955-09-30
"TM2",14.9,1955-09-30
"TM3",25.5,1955-09-30
"TM4",12,1955-09-30
"PM1",3.7,1955-09-30
"TM1",15.7,1955-10-31
"TM2",10.7,1955-10-31
"TM3",20.7,1955-10-31
"TM4",5.6,1955-10-31
"PM1",105.9,1955-10-31
"TM1",12.5,1955-11-30
"TM2",8.7,1955-11-30
"TM3",16.4,1955-11-30
"TM4",3.6,1955-11-30
"PM1",52.7,1955-11-30
"TM1",11.9,1955-12-31
"TM2",7.1,1955-12-31
"TM3",16.7,1955-12-31
"TM4",3.2,1955-12-31
"PM1",34.7,1955-12-31
"TM1",8.9,1956-01-31
"TM2",4.1,1956-01-31
