"vb","value","date"
"TM4",-13.4,1954-02-28
"PM1",20.6,1954-02-28
"TM1",9.5,1954-03-31
"TM2",4,1954-03-31
"TM3",15,1954-03-31
"TM4",-1.2,1954-03-31
"PM1",89.7,1954-03-31
"TM1",11.3,1954-04-30
"TM2",4.9,1954-04-30
"TM3",17.6,1954-04-30
"TM4",1.3,1954-04-30
"PM1",42.5,1954-04-30
"TM1",17.3,1954-05-31
"TM2",9.6,1954-05-31
"TM3",25,1954-05-31
"TM4",3.5,1954-05-31
"PM1",2,1954-05-31
"TM1",20.9,1954-06-30
"TM2",12.7,1954-06-30
"TM3",29.1,1954-06-30
"TM4",8.5,1954-06-30
"PM1",2.9,1954-06-30
"TM1",24.7,1954-07-31
"TM2",15.9,1954-07-31
"TM3",33.5,1954-07-31
"TM4",10.6,1954-07-31
"PM1",1.7,1954-07-31
"TM1",24.2,1954-08-31
"TM2",15.4,1954-08-31
"TM3",32.9,1954-08-31
"TM4",11.4,1954-08-31
"PM1",0.1,1954-08-31
"TM1",22.8,1954-09-30
"TM2",14.2,1954-09-30
"TM3",31.3,1954-09-30
"TM4",10.5,1954-09-30
"PM1",0.5,1954-09-30
"TM1",18,1954-10-31
"TM2",10.6,1954-10-31
"TM3",25.3,1954-10-31
"TM4",8,1954-10-31
"PM1",8.2,1954-10-31
"TM1",13.2,1954-11-30
"TM2",7.5,1954-11-30
"TM3",18.9,1954-11-30
"TM4",1.2,1954-11-30
"PM1",80,1954-11-30
"TM1",8.6,1954-12-31
"TM2",2.7,1954-12-31
"TM3",14.4,1954-12-31
"TM4",-0.4,1954-12-31
"PM1",32.9,1954-12-31
"TM1",9.6,1955-01-31
"TM2",5.7,1955-01-31
"TM3",13.5,1955-01-31
"TM4",2,1955-01-31
"PM1",57.5,1955-01-31
"TM1",8.8,1955-02-28
"TM2",3.6,1955-02-28
"TM3",13.9,1955-02-28
"TM4",-1.8,1955-02-28
"PM1",87.2,1955-02-28
"TM1",9.4,1955-03-31
"TM2",3.4,1955-03-31
"TM3",15.3,1955-03-31
"TM4",-5.3,1955-03-31
"PM1",34.5,1955-03-31
"TM1",14.8,1955-04-30
"TM2",7.3,1955-04-30
"TM3",22.2,1955-04-30
"TM4",4,1955-04-30
"PM1",16.3,1955-04-30
"TM1",20,1955-05-31
"TM2",12.3,1955-05-31
"TM3",27.7,1955-05-31
"TM4",8.3,1955-05-31
"PM1",4.6,1955-05-31
"TM1",22.2,1955-06-30
"TM2",14.9,1955-06-30
"TM3",29.5,1955-06-30
"TM4",10.3,1955-06-30
"PM1",12.3,1955-06-30
"TM1",26.3,1955-07-31
"TM2",18,1955-07-31
"TM3",34.5,1955-07-31
"TM4",14.5,1955-07-31
"PM1",3.7,1955-07-31
"TM1",25.5,1955-08-31
"TM2",17.8,1955-08-31
"TM3",33.2,1955-08-31
"TM4",14.5,1955-08-31
"PM1",12.9,1955-08-31
"TM1",22.1,1955-09-30
"TM2",14.9,1955-09-30
"TM3",29.4,1955-09-30
"TM4",12.2,1955-09-30
"PM1",8.8,1955-09-30
"TM1",16.4,1955-10-31
"TM2",10.2,1955-10-31
"TM3",22.5,1955-10-31
"TM4",3.6,1955-10-31
"PM1",86.2,1955-10-31
"TM1",12.4,1955-11-30
"TM2",7.7,1955-11-30
"TM3",17,1955-11-30
"TM4",1.5,1955-11-30
"PM1",26.5,1955-11-30
"TM1",9.2,1955-12-31
"TM2",3.8,1955-12-31
"TM3",14.7,1955-12-31
"TM4",-1,1955-12-31
"PM1",47.4,1955-12-31
"TM1",7.1,1956-01-31
"TM2",1.5,1956-01-31
"TM3",12.8,1956-01-31
"TM4",-4,1956-01-31
"PM1",42,1956-01-31
"TM1",3.3,1956-02-29
"TM2",-2.5,1956-02-29
"TM3",9.1,1956-02-29
"TM4",-7.6,1956-02-29
"PM1",21.2,1956-02-29
"TM1",10.3,1956-03-31
"TM2",3.8,1956-03-31
"TM3",16.8,1956-03-31
"TM4",-1,1956-03-31
"PM1",72.7,1956-03-31
"TM1",11.5,1956-04-30
"TM2",5.7,1956-04-30
"TM3",17.4,1956-04-30
"TM4",1.5,1956-04-30
"PM1",102,1956-04-30
"TM1",15.7,1956-05-31
"TM2",7.6,1956-05-31
"TM3",23.8,1956-05-31
"TM4",2,1956-05-31
"PM1",9.6,1956-05-31
"TM1",21,1956-06-30
"TM2",12.6,1956-06-30
"TM3",29.4,1956-06-30
"TM4",8.2,1956-06-30
"PM1",0.2,1956-06-30
"TM1",23.8,1956-07-31
"TM2",15,1956-07-31
"TM3",32.5,1956-07-31
"TM4",11,1956-07-31
"PM1",12.5,1956-07-31
"TM1",24.5,1956-08-31
"TM2",16.2,1956-08-31
"TM3",32.8,1956-08-31
"TM4",10.6,1956-08-31
"PM1",7.6,1956-08-31
"TM1",20.6,1956-09-30
"TM2",12.9,1956-09-30
"TM3",28.3,1956-09-30
"TM4",7.4,1956-09-30
"PM1",35.9,1956-09-30
