"year","bai_mean","bai_sd","bai_se","n_trees","site","nseries"
1928,1034.78430515485,503.307332423695,129.953394433404,15,"CA_Low",30
1929,1174.58569416012,531.585367042191,137.254751576131,15,"CA_Low",30
1930,1255.70668392888,549.034863423176,141.760192168348,15,"CA_Low",30
1931,1101.110211884,508.759198963024,131.361060320908,15,"CA_Low",30
1932,1209.3451463036,594.39597829894,153.472381666964,15,"CA_Low",30
1933,1529.32744597031,755.285441850557,195.013862528008,15,"CA_Low",30
1934,1318.34100568572,667.849992643281,172.438126618145,15,"CA_Low",30
1935,1229.54004640151,585.988383673847,151.301550069321,15,"CA_Low",30
1936,1047.96605894375,448.581779447232,115.823317414081,15,"CA_Low",30
1937,1089.14302714676,470.829473143959,121.567647226011,15,"CA_Low",30
1938,1130.78068288989,393.79875962978,101.678402520218,15,"CA_Low",30
1939,1132.04387524305,410.392426327988,105.96286883853,15,"CA_Low",30
1940,1137.74990023096,528.774633098701,136.529023192547,15,"CA_Low",30
1941,1266.94910350026,531.593654725747,137.256891446823,15,"CA_Low",30
1942,1155.10997313837,507.032171637862,130.915143782988,15,"CA_Low",30
1943,919.663897141652,380.754790681969,98.3104642199972,15,"CA_Low",30
1944,1415.3667484381,497.868200189648,128.549016529385,15,"CA_Low",30
1945,957.985650609248,383.226997563916,98.9487852921411,15,"CA_Low",30
1946,1029.22573515288,372.566071717268,96.1961460748599,15,"CA_Low",30
1947,979.00562080167,474.884799021209,122.61472786508,15,"CA_Low",30
1948,1114.24632911185,494.30051835926,127.627845041807,15,"CA_Low",30
1949,856.584488451299,430.964814499254,111.274636623799,15,"CA_Low",30
1950,794.357655128277,405.782736639985,104.772652079009,15,"CA_Low",30
1951,719.844053815687,342.28159880265,88.3767287917275,15,"CA_Low",30
1952,672.023284408173,332.070185246139,85.7401531486871,15,"CA_Low",30
1953,793.054875238666,439.31394903247,113.430373890625,15,"CA_Low",30
1954,970.092951864222,536.096623593433,138.419553009026,15,"CA_Low",30
1955,1038.00346399043,577.548130585316,149.122286092677,15,"CA_Low",30
1956,802.551424379704,399.530482777953,103.158327073415,15,"CA_Low",30
1957,667.320047382063,376.74814192887,97.27595196034,15,"CA_Low",30
1958,679.448034176655,425.637040903032,109.89901139643,15,"CA_Low",30
1959,829.551321711111,545.805284497334,140.926318475345,15,"CA_Low",30
1960,1007.19242950165,656.177125808231,169.424205361169,15,"CA_Low",30
1961,878.541538114832,558.18556141667,144.12289223068,15,"CA_Low",30
1962,915.26516669801,482.166850733134,124.49494553218,15,"CA_Low",30
1963,896.156818977827,476.260987712128,122.970058257158,15,"CA_Low",30
1964,763.657797615458,312.157314528376,80.598672037682,15,"CA_Low",30
1965,776.76260381358,293.453315007041,75.7693201274418,15,"CA_Low",30
1966,822.153844455815,340.193653341881,87.8376235919044,15,"CA_Low",30
1967,795.767335141096,341.246344992265,88.1094274072795,15,"CA_Low",30
1968,901.107204776413,377.654759950777,97.5100397270214,15,"CA_Low",30
1969,990.765481394327,439.184747079368,113.397014089781,15,"CA_Low",30
1970,1030.81828536002,437.802391236749,113.040091345981,15,"CA_Low",30
1971,1065.63503585999,410.491836013278,105.988536308902,15,"CA_Low",30
1972,909.596027877256,338.098475547349,87.2966510115332,15,"CA_Low",30
1973,1016.60293822181,385.69209928052,99.5852718184821,15,"CA_Low",30
1974,1070.48067942321,421.481960422416,108.826174229525,15,"CA_Low",30
1975,947.550118032542,440.475956773617,113.730402999267,15,"CA_Low",30
1976,1037.10438143631,599.062965066857,154.677392468905,15,"CA_Low",30
1977,756.089734236492,374.070744907923,96.5846510221193,15,"CA_Low",30
1978,1084.94893575126,627.95428379314,162.137098887363,15,"CA_Low",30
1979,1089.60339694516,645.531983953271,166.675641553017,15,"CA_Low",30
1980,1105.20848907284,669.091186491793,172.758601491792,15,"CA_Low",30
1981,1116.24775935172,580.548846747493,149.897067674198,15,"CA_Low",30
1982,1222.29997457786,546.505157049898,141.107024791382,15,"CA_Low",30
1983,1017.35974161236,459.267646055143,118.58239630823,15,"CA_Low",30
1984,1050.21283293787,520.656696376714,134.432980943892,15,"CA_Low",30
1985,819.914964566879,375.417477542357,96.9323758931163,15,"CA_Low",30
1986,824.419961708781,388.242794014379,100.243858366848,15,"CA_Low",30
1987,1071.57093774034,562.771324336245,145.306931125158,15,"CA_Low",30
1988,1184.50993693632,537.654087574877,138.821688479856,15,"CA_Low",30
1989,1090.40886639092,476.894775785694,123.133701634088,15,"CA_Low",30
1990,1297.35037572471,631.289166058932,162.998161785828,15,"CA_Low",30
1991,1240.22510368997,639.17640966901,165.034639329115,15,"CA_Low",30
1992,1153.04726289458,651.734112598023,168.277024283161,15,"CA_Low",30
1993,1023.76566968519,548.038772218482,141.503002525209,15,"CA_Low",30
1994,779.705827974673,356.770475987919,92.1177407946468,15,"CA_Low",30
1995,557.722559882553,222.986209329919,57.5747916779132,15,"CA_Low",30
1996,1078.16221709454,608.989644250937,157.24045001311,15,"CA_Low",30
