"site","disturb_year","rt_mean","rs_mean","rc_mean","rrs_mean","rt_sd","rs_sd","rc_sd","rrs_sd","rt_se","rs_se","rc_se","rrs_se","samps","d_duration","d_intensity","d_severity","lowest_spei","month_peak","minyear","rangeDate","cat"
"caL",1931,0.956153289073872,1.16287017596647,1.2183971812566,0.206716886892601,0.123312987802488,0.257934942970051,0.239159006254707,0.223571013613326,0.0318392765420076,0.0665985159018644,0.0617505898879996,0.0577257874946083,15,4,-1.71362666666667,6.85450666666667,-1.83263666666667,7,1931,"May - Aug","severe"
"caL",1946,0.94366136659442,0.890852341972258,0.944516436248343,-0.0528090246221628,0.07011086068839,0.144874380642258,0.142333758515689,0.133677087592325,0.0181025463889602,0.0374064042346387,0.0367504184222915,0.0345152756009724,15,9,-1.82317555555556,16.40858,-2.42694,11,1945,"May - Jan","severe"
"caL",1983,0.929382687035229,0.812129896054571,0.884013210191912,-0.117252790980658,0.158338451417631,0.114702151187816,0.106039094688916,0.104728240490612,0.0408828123603173,0.0296159680883051,0.0273791765184723,0.0270407154198498,15,8,-1.48243145833333,11.8594516666667,-1.65409833333333,7,1983,"Feb - Sep","severe"
"caL",1985,0.759322508396929,0.931387851878862,1.25871823528506,0.172065343481932,0.12996705814109,0.0917922321496235,0.236082065559999,0.146176232421453,0.0335573501157343,0.0237006524284465,0.0609561272168084,0.0377425409186422,15,5,-1.49255433333333,7.46277166666667,-1.53745166666667,6,1985,"May - Sep","severe"
"caL",1991,1.03411281199849,0.83391516401606,0.808216138272119,-0.200197647982432,0.146158029462221,0.172058166658069,0.136492756369941,0.143914788561859,0.0377378409347783,0.0444252276030454,0.0352422781532486,0.0371586386248694,15,5,-1.38520533333333,6.92602666666667,-1.44390166666667,7,1991,"Apr - Aug","severe"
"caL",1995,0.599037861342628,1.01114526695351,1.74010787959461,0.412107405610885,0.115125590483529,0.138868125794799,0.378155753607532,0.171260091998697,0.0297252996443335,0.0358555959014861,0.0976393957329658,0.0442191656120603,15,11,-1.95669772727273,21.523675,-2.58456,11,1995,"Jan - Nov","severe"
"caL",1999,0.841963622527861,1.28053163865396,1.52758037086776,0.438568016126102,0.101794981392269,0.253739584464794,0.276955610800026,0.231939428859936,0.0262833511773168,0.0655152789937157,0.0715096312178136,0.0598865030202261,15,9,-1.76442333333333,15.87981,-2.05611166666667,12,1998,"Dec - Aug","severe"
"caL",2005,0.899766285468505,0.756793186744858,0.839513584035464,-0.142973098723647,0.145087298980296,0.186402868889167,0.135049886206321,0.129354200214379,0.0374613795131268,0.0481290137928685,0.0348697306789524,0.0333991108794848,15,5,-1.52219366666667,7.61096833333333,-1.57087666666667,6,2005,"May - Sep","severe"
"caL",2012,0.927723678832537,0.885111414780395,0.960312550592054,-0.0426122640521415,0.0849702295294083,0.105310746661879,0.133710270443629,0.125844227851614,0.0219392189260547,0.0271911178665416,0.0345238433763376,0.0324928399123756,15,6,-1.72790611111111,10.3674366666667,-1.90596166666667,8,2012,"Mar - Aug","severe"
"SJ",1925,0.713124366968518,0.509292382296665,0.714170495199399,-0.203831984671853,NA,NA,NA,NA,NA,NA,NA,NA,1,5,-1.90532266666667,9.52661333333333,-2.29962666666667,4,1925,"Jan - May","severe"
"SJ",1927,0.660956099895461,0.716094997494158,2.34548534200624,0.0551388975986965,NA,NA,1.68229083590952,NA,NA,NA,0.376171666701862,NA,4,4,-1.36337416666667,5.45349666666667,-1.44067333333333,5,1927,"May - Aug","severe"
"SJ",1931,1.23108950211737,0.72148299965824,0.870549560797584,-0.509606502459133,0.919708053408448,0.338003002523176,0.379671903951616,0.738354842698651,0.20565297268753,0.0755797690240855,0.0848972186382584,0.165101161979035,6,4,-1.71362666666667,6.85450666666667,-1.83263666666667,7,1931,"May - Aug","severe"
"SJ",1946,1.94255490300693,12.8341067794219,5.97324289647905,10.891551876415,0.781614927888152,10.9821581691253,5.72371666787948,10.6525480801594,0.17477441109865,2.45568522058189,1.27986195533271,2.38198216408213,9,9,-1.82317555555556,16.40858,-2.42694,11,1945,"May - Jan","severe"
"SJ",1983,0.780882086711166,1.00692704951479,1.30874120952906,0.226044962803626,0.133787598883861,0.18042614252292,0.236607213454089,0.165034515188683,0.0299158165650788,0.0403445119599315,0.0529069813250147,0.0369028394595617,20,8,-1.48243145833333,11.8594516666667,-1.65409833333333,7,1983,"Feb - Sep","severe"
"SJ",1985,1.1915330192879,1.49576193490048,1.27437399834299,0.304228915612584,0.209183971178891,0.339106681886816,0.29702325329521,0.309529925332522,0.0467749579359357,0.0758265592323317,0.0664164185266228,0.0692129954113954,20,5,-1.49255433333333,7.46277166666667,-1.53745166666667,6,1985,"May - Sep","severe"
"SJ",1991,0.692985001358297,0.595448440453401,0.865569704283485,-0.0975365609048965,0.118034132736521,0.118096545537908,0.141858116581646,0.0963075507106619,0.0263932344464095,0.0264071903730663,0.0317204391836651,0.0215350230135548,20,5,-1.38520533333333,6.92602666666667,-1.44390166666667,7,1991,"Apr - Aug","severe"
"SJ",1995,0.645693750559193,2.25553307965405,3.76066780255166,1.60983932909486,0.159650093687938,0.890516667551306,1.92598347336692,0.900799936435158,0.0356988462100439,0.19912558037413,0.430662996998958,0.20142498919965,20,11,-1.95669772727273,21.523675,-2.58456,11,1995,"Jan - Nov","severe"
"SJ",1999,0.757172109316788,1.26622903560534,1.67336732487061,0.509056926288555,0.335397247819992,0.698809773248835,0.471626411376987,0.447951030446058,0.0749971045591845,0.156258615632561,0.105458871582322,0.100164895466846,20,9,-1.76442333333333,15.87981,-2.05611166666667,12,1998,"Dec - Aug","severe"
"SJ",2005,0.460611646173274,0.495892127035647,1.11502917517089,0.0352804808623731,0.159705811741268,0.155762287483872,0.251530731999202,0.101347046255489,0.035711305145526,0.0348295063144803,0.0562439815180498,0.0226618884746089,20,5,-1.52219366666667,7.61096833333333,-1.57087666666667,6,2005,"May - Sep","severe"
"SJ",2012,0.767285260916809,1.08289917334263,1.44567798472958,0.315613912425824,0.183513065070234,0.248677136108947,0.270459008797678,0.181486274306333,0.0410347688256386,0.0556058980789573,0.0604764728798821,0.0405815646332135,20,6,-1.72790611111111,10.3674366666667,-1.90596166666667,8,2012,"Mar - Aug","severe"
